oid,class
900,NotEA
1062,NotEA
2027,NotEA
2113,NotEA
4875,EA
5373,EA
6312,EA
6336,EA
6770,EA
7214,NotEA
10080,NotEA
11353,NotEA
12667,EA
13747,EA
15353,EA
16105,NotEA
16413,EA
16779,EA
16831,EA
17826,EA
19414,EA
20074,EA
20229,EA
20849,EA
22227,EA
23191,EA
23747,EA
24069,EA
24240,EA
24774,EA
24936,EA
25504,EA
25952,EA
26699,EA
28559,EA
29442,EA
29945,EA
31551,NotEA
32902,EA
33336,EA
33726,EA
34178,EA
35392,EA
36248,EA
36557,EA
37125,NotEA
37453,EA
37816,NotEA
38324,EA
38379,EA
38800,NotEA
39840,NotEA
40926,EA
41512,EA
43822,EA
45312,EA
45476,EA
45799,EA
46015,EA
46743,NotEA
50363,EA
50391,EA
50867,NotEA
52647,EA
53157,EA
55577,NotEA
57028,EA
57078,EA
57921,EA
58436,EA
59765,NotEA
60893,EA
62973,NotEA
63188,EA
63544,NotEA
63753,NotEA
64004,EA
64079,NotEA
65103,EA
65262,NotEA
66153,EA
67421,NotEA
68740,NotEA
71809,NotEA
72707,NotEA
72966,NotEA
74445,NotEA
74866,EA
75085,NotEA
75150,EA
75635,EA
75905,NotEA
76226,EA
76245,NotEA
76864,EA
77962,EA
78540,NotEA
78837,NotEA
79309,EA
79843,EA
79861,EA
82517,EA
82631,NotEA
83720,NotEA
83813,EA
84599,NotEA
84908,NotEA
85197,EA
86098,NotEA
87390,NotEA
90412,EA
90534,NotEA
90935,EA
91188,EA
91703,NotEA
91773,NotEA
92082,EA
92442,NotEA
92656,EA
93598,NotEA
94543,NotEA
94819,NotEA
96052,NotEA
96322,EA
98413,EA
99261,EA
102087,EA
102797,EA
102818,EA
103927,EA
104154,EA
105394,NotEA
105532,NotEA
105805,EA
106691,EA
106997,NotEA
107196,NotEA
107520,EA
108161,NotEA
108399,NotEA
108957,EA
110642,EA
110703,EA
113687,EA
114321,EA
115092,EA
115573,EA
117400,NotEA
118145,NotEA
121626,EA
123741,EA
123890,NotEA
124356,NotEA
124498,EA
125570,NotEA
126471,NotEA
126491,NotEA
126993,EA
127716,NotEA
130436,EA
130489,EA
131648,EA
131749,EA
131866,NotEA
132466,EA
135074,EA
135686,NotEA
136403,EA
136726,EA
137282,NotEA
138166,EA
138803,NotEA
140471,EA
141135,EA
141187,EA
143121,NotEA
143313,EA
145667,EA
146077,NotEA
146877,EA
147584,NotEA
147586,EA
147775,EA
149912,NotEA
150406,EA
151154,EA
152805,NotEA
154981,EA
155924,NotEA
156892,NotEA
157461,EA
158636,EA
158676,EA
158861,EA
159303,EA
159508,NotEA
159727,EA
159948,EA
160262,NotEA
160408,EA
162944,NotEA
163616,NotEA
163952,EA
165906,EA
166097,NotEA
169324,NotEA
171541,NotEA
173296,EA
174039,EA
175611,EA
175870,NotEA
176105,EA
176293,NotEA
176829,NotEA
178376,EA
180581,NotEA
181807,NotEA
183431,NotEA
183861,NotEA
187382,NotEA
188515,EA
188863,NotEA
189094,NotEA
190094,NotEA
190817,NotEA
191005,NotEA
191114,NotEA
191291,NotEA
191299,NotEA
193371,NotEA
193613,NotEA
193847,NotEA
194556,NotEA
195003,EA
195726,NotEA
196175,NotEA
196591,NotEA
196783,NotEA
197134,NotEA
197407,NotEA
197751,NotEA
197761,NotEA
198104,NotEA
198362,NotEA
198565,EA
199362,NotEA
199467,NotEA
199967,NotEA
200902,NotEA
201398,NotEA
202434,NotEA
203009,EA
203044,NotEA
203307,EA
204008,NotEA
205046,NotEA
205860,NotEA
205985,NotEA
206480,NotEA
206499,NotEA
207087,NotEA
207618,EA
208507,EA
210925,NotEA
211532,NotEA
211796,NotEA
212091,NotEA
213689,NotEA
216365,NotEA
216456,EA
218252,NotEA
218393,NotEA
219313,NotEA
219613,NotEA
220006,EA
220323,NotEA
221631,NotEA
222386,EA
222802,EA
222997,NotEA
223687,EA
223755,EA
224595,NotEA
226287,NotEA
227585,NotEA
227925,NotEA
228321,EA
229384,EA
230014,NotEA
230246,NotEA
230544,NotEA
230844,NotEA
231304,NotEA
231529,NotEA
231833,NotEA
233597,NotEA
233714,NotEA
234249,EA
234343,NotEA
234441,EA
235044,NotEA
235105,NotEA
236179,EA
237591,NotEA
238770,EA
238972,EA
239210,NotEA
