,class,pred
0,EA,EA
1,EA,EA
2,NotEA,NotEA
3,NotEA,NotEA
4,NotEA,NotEA
5,NotEA,NotEA
6,EA,EA
7,EA,EA
8,NotEA,NotEA
9,EA,EA
10,NotEA,NotEA
11,NotEA,NotEA
12,NotEA,NotEA
13,NotEA,NotEA
14,NotEA,NotEA
15,NotEA,NotEA
16,NotEA,NotEA
17,NotEA,NotEA
18,EA,EA
19,EA,EA
20,EA,EA
21,NotEA,NotEA
22,NotEA,NotEA
23,EA,EA
24,EA,NotEA
25,EA,EA
26,EA,EA
27,EA,EA
28,NotEA,NotEA
29,NotEA,NotEA
30,EA,EA
31,EA,EA
32,EA,EA
33,NotEA,NotEA
34,NotEA,NotEA
35,EA,EA
36,EA,EA
37,EA,NotEA
38,EA,EA
39,NotEA,NotEA
40,NotEA,NotEA
41,EA,EA
42,NotEA,NotEA
43,EA,NotEA
44,EA,EA
45,EA,EA
46,NotEA,NotEA
47,NotEA,NotEA
48,NotEA,NotEA
49,EA,EA
50,EA,EA
51,EA,EA
52,EA,NotEA
53,EA,EA
54,EA,EA
55,NotEA,NotEA
56,EA,EA
57,EA,EA
58,NotEA,NotEA
59,EA,EA
60,NotEA,NotEA
61,NotEA,NotEA
62,EA,EA
63,NotEA,NotEA
64,NotEA,NotEA
65,EA,EA
66,NotEA,NotEA
67,EA,EA
68,EA,EA
69,EA,EA
70,EA,EA
71,NotEA,NotEA
72,EA,EA
73,EA,EA
74,NotEA,NotEA
75,NotEA,NotEA
76,NotEA,NotEA
77,EA,EA
78,EA,EA
79,EA,EA
80,NotEA,NotEA
81,EA,EA
82,NotEA,NotEA
83,NotEA,NotEA
84,EA,EA
85,EA,EA
86,EA,EA
87,NotEA,NotEA
88,EA,NotEA
89,NotEA,NotEA
90,NotEA,NotEA
91,EA,EA
92,NotEA,NotEA
93,NotEA,NotEA
94,NotEA,NotEA
95,EA,NotEA
96,EA,EA
97,NotEA,NotEA
98,NotEA,NotEA
99,EA,EA
100,EA,EA
101,EA,EA
102,EA,EA
103,EA,EA
104,NotEA,NotEA
105,EA,EA
106,EA,EA
107,NotEA,NotEA
108,EA,EA
109,NotEA,NotEA
110,NotEA,NotEA
111,EA,EA
112,NotEA,NotEA
113,EA,NotEA
114,EA,NotEA
115,EA,EA
116,NotEA,NotEA
117,EA,EA
118,NotEA,NotEA
119,EA,EA
120,EA,EA
121,EA,NotEA
122,NotEA,NotEA
123,EA,EA
124,EA,EA
125,EA,EA
126,EA,EA
127,NotEA,NotEA
128,EA,EA
129,NotEA,NotEA
130,EA,EA
131,NotEA,NotEA
132,EA,EA
133,NotEA,NotEA
134,NotEA,NotEA
135,EA,EA
136,NotEA,NotEA
137,NotEA,NotEA
138,EA,EA
139,NotEA,NotEA
140,EA,EA
141,NotEA,NotEA
142,EA,EA
143,NotEA,NotEA
144,EA,EA
145,EA,EA
146,EA,EA
147,NotEA,NotEA
148,EA,EA
149,EA,EA
150,NotEA,NotEA
151,EA,EA
152,NotEA,NotEA
153,NotEA,NotEA
154,NotEA,NotEA
155,NotEA,NotEA
156,EA,EA
157,EA,NotEA
158,NotEA,NotEA
159,NotEA,NotEA
160,NotEA,NotEA
161,EA,EA
162,EA,EA
163,EA,EA
164,NotEA,NotEA
165,NotEA,NotEA
166,EA,NotEA
167,EA,EA
168,EA,EA
169,NotEA,NotEA
170,NotEA,NotEA
171,EA,EA
172,NotEA,NotEA
173,NotEA,NotEA
174,NotEA,NotEA
175,NotEA,NotEA
176,EA,NotEA
177,EA,EA
178,NotEA,NotEA
179,NotEA,NotEA
180,EA,EA
181,NotEA,NotEA
182,EA,EA
183,NotEA,NotEA
184,NotEA,NotEA
185,NotEA,NotEA
186,EA,EA
187,NotEA,NotEA
188,EA,EA
189,NotEA,NotEA
190,NotEA,NotEA
191,NotEA,NotEA
192,NotEA,NotEA
193,EA,EA
194,NotEA,NotEA
