Feature Name,Relative Importance
Beyond1Std_r,0.07994579945799463
StetsonK_r,0.04607046070460711
GP_DRW_tau_r,0.040921409214092194
MHPS_ratio_r,0.028726287262872675
SF_ML_gamma_r,0.027100271002710084
Harmonics_mag_1_r,0.027100271002710074
Skew_r,0.026558265582655883
MHPS_low_r,0.02411924119241198
Amplitude_r,0.021680216802168063
LinearTrend_r,0.017073170731707377
IAR_phi_r,0.01571815718157188
Harmonics_phase_2_r,0.015447154471544766
Gskew_r,0.015447154471544766
AndersonDarling_r,0.012737127371273771
SmallKurtosis_r,0.009756097560975664
Harmonics_phase_3_r,0.009214092140921459
Period_band_r,0.007588075880758849
PercentAmplitude_r,0.0062330623306233405
MHPS_high_r,0.004336043360433639
Rcs_r,0.0040650406504065375
Mean_r,0.0029810298102981303
Harmonics_phase_5_r,0.002168021680216825
Autocor_length_r,0.0013550135501355087
Harmonics_phase_4_r,0.0008130081300813385
Harmonics_phase_6_r,0.00027100271002710173
Psi_CS_r,0.0
Harmonics_phase_7_r,0.0
Eta_e_r,0.0
Pvar_r,0.0
Psi_eta_r,-0.00027100271002706845
