Feature Name,Relative Importance
IAR_phi_r,0.020054200542005424
AndersonDarling_r,0.00704607046070459
Harmonics_phase_7_r,0.0
Harmonics_phase_5_r,0.0
Pvar_r,0.0
StetsonK_r,0.0
Psi_CS_r,0.0
Mean_r,0.0
Harmonics_phase_6_r,-0.00027100271002710173
Beyond1Std_r,-0.00027100271002710173
MHPS_low_r,-0.0010840108401084015
Harmonics_mag_1_r,-0.001084010840108407
Period_band_r,-0.001355013550135503
LinearTrend_r,-0.0016260162601625882
PercentAmplitude_r,-0.0016260162601626049
Rcs_r,-0.0016260162601626105
Eta_e_r,-0.002168021680216803
Amplitude_r,-0.0021680216802168082
Harmonics_phase_4_r,-0.002710027100271006
Harmonics_phase_3_r,-0.0029810298102981025
Psi_eta_r,-0.0029810298102981025
SmallKurtosis_r,-0.0032520325203251933
Autocor_length_r,-0.003252032520325199
MHPS_ratio_r,-0.003794037940379397
MHPS_high_r,-0.0037940379403794077
SF_ML_gamma_r,-0.004878048780487787
GP_DRW_tau_r,-0.006775067750677511
Harmonics_phase_2_r,-0.008130081300813002
Skew_r,-0.02466124661246611
Gskew_r,-0.041734417344173456
