num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
2,"(17, 20)",[0.91065018 0.92346516 0.90118434 0.89672808 0.93259989],0.9129255302377747,"('Beyond1Std_r', 'Mean_r')",0.01727800714456313,0.013442876549160519,0.006721438274580259
3,"(15, 17, 20)",[0.91065018 0.92346516 0.90118434 0.89672808 0.93259989],0.9129255302377747,"('AndersonDarling_r', 'Beyond1Std_r', 'Mean_r')",0.01727800714456313,0.013442876549160519,0.006721438274580259
4,"(15, 17, 20, 26)",[0.91065018 0.92346516 0.90118434 0.89672808 0.93259989],0.9129255302377747,"('AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Pvar_r')",0.01727800714456313,0.013442876549160519,0.006721438274580259
9,"(3, 5, 12, 13, 15, 17, 20, 21, 26)",[0.92854864 0.90555612 0.91029767 0.88789238 0.92813406],0.9120857735049197,"('Period_band_r', 'Psi_CS_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'PercentAmplitude_r', 'Pvar_r')",0.019574672171142553,0.015229759965098722,0.007614879982549361
5,"(5, 15, 17, 20, 26)",[0.91065018 0.91900726 0.90570825 0.8922011  0.93259989],0.9120333351139058,"('Psi_CS_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Pvar_r')",0.017309547901010386,0.013467416329219647,0.006733708164609824
8,"(3, 5, 12, 15, 17, 20, 21, 26)",[0.92398443 0.9008969  0.91016758 0.89232255 0.92813406],0.9111011039735908,"('Period_band_r', 'Psi_CS_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'PercentAmplitude_r', 'Pvar_r')",0.01737505315223299,0.013518381640099515,0.006759190820049757
7,"(5, 12, 15, 17, 20, 21, 26)",[0.91954023 0.91477078 0.90570825 0.88788336 0.92366858],0.9103142394768412,"('Psi_CS_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'PercentAmplitude_r', 'Pvar_r')",0.01633561468614231,0.012709663200339944,0.006354831600169972
10,"(3, 5, 12, 13, 15, 17, 20, 21, 25, 26)",[0.91961722 0.89656146 0.9192679  0.88789238 0.92361321],0.9093904343881345,"('Period_band_r', 'Psi_CS_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'PercentAmplitude_r', 'StetsonK_r', 'Pvar_r')",0.018458030506389663,0.014360974813933553,0.0071804874069667755
6,"(5, 15, 17, 20, 21, 26)",[0.91053599 0.90990627 0.89188752 0.89665317 0.9370666 ],0.9092099096799062,"('Psi_CS_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'PercentAmplitude_r', 'Pvar_r')",0.02020790893247546,0.01572243967854977,0.007861219839274885
1,"(17,)",[0.90615836 0.91446107 0.89211418 0.88312369 0.93259989],0.9056914360368434,"('Beyond1Std_r',)",0.02222352798510608,0.017290659778700354,0.008645329889350177
