num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
13,"(4, 5, 9, 10, 11, 12, 13, 17, 18, 20, 21, 23, 24)",[0.9330237  0.96410752 0.9461786  0.92366858 0.96409018],0.9462137148227907,"('GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.020899453779922136,0.016260485063914653,0.008130242531957326
10,"(4, 5, 9, 10, 11, 12, 17, 18, 20, 23)",[0.91964286 0.95961202 0.9461786  0.92818035 0.96409018],0.9435408012987899,"('GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'Skew_r')",0.022221590147578508,0.017289152075269192,0.008644576037634596
12,"(4, 5, 9, 10, 11, 12, 13, 17, 18, 20, 21, 23)",[0.92410563 0.96410752 0.9461786  0.9192029  0.96409018],0.9435369645273838,"('GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r')",0.024537169179848366,0.019090751230205493,0.009545375615102747
11,"(4, 5, 9, 10, 11, 12, 17, 18, 20, 21, 23)",[0.92410563 0.95961202 0.9461786  0.92366858 0.96409018],0.9435310009720574,"('GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r')",0.02196418469678672,0.017088881889644005,0.008544440944822
7,"(4, 5, 9, 10, 17, 20, 23)",[0.92410563 0.95961202 0.94169935 0.92366858 0.96409018],0.9426351502209229,"('GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r')",0.021906439405634696,0.017043954091330395,0.008521977045665197
14,"(2, 4, 5, 9, 10, 11, 12, 13, 17, 18, 20, 21, 23, 24)",[0.92854864 0.95060908 0.9461786  0.92366858 0.96409018],0.9426190163913691,"('MHPS_high_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.019017241382181433,0.014796059873530961,0.007398029936765481
9,"(4, 5, 9, 10, 12, 17, 18, 20, 23)",[0.91517688 0.95961202 0.9461786  0.92366858 0.96409018],0.9417452510966214,"('GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'Skew_r')",0.02486176603787395,0.01934329861337152,0.00967164930668576
6,"(4, 9, 10, 17, 20, 23)",[0.91964286 0.95961202 0.94169935 0.92366858 0.96409018],0.9417425955907,"('GP_DRW_tau_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r')",0.02323357378119059,0.018076509722629516,0.009038254861314758
8,"(4, 5, 9, 10, 17, 18, 20, 23)",[0.92410563 0.95961202 0.93718815 0.92366858 0.96409018],0.9417329117140604,"('GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'Skew_r')",0.022092096299940373,0.017188401462475113,0.008594200731237556
15,"(2, 4, 5, 9, 10, 11, 12, 13, 16, 17, 18, 20, 21, 23, 24)",[0.92406931 0.95060908 0.94168527 0.92366858 0.96409018],0.9408244843218568,"('MHPS_high_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.020017824577684126,0.015574547592731828,0.007787273796365914
16,"(1, 2, 4, 5, 9, 10, 11, 12, 13, 16, 17, 18, 20, 21, 23, 24)",[0.92854864 0.94610055 0.94168527 0.92366858 0.95508379],0.9390173670056082,"('MHPS_low_r', 'MHPS_high_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.014773562901769479,0.011494333844064763,0.005747166922032382
18,"(1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 23, 24)",[0.9330237  0.9326867  0.9461786  0.92818035 0.95060908],0.9381356864848849,"('MHPS_low_r', 'MHPS_high_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.01113401102204625,0.008662638834100607,0.004331319417050302
5,"(4, 9, 17, 20, 23)",[0.91961722 0.94610055 0.95065677 0.92366858 0.95057325],0.938123275124019,"('GP_DRW_tau_r', 'Harmonics_phase_3_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r')",0.01750205193622167,0.013617191008608805,0.006808595504304403
19,"(1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24)",[0.92854864 0.92818035 0.94169935 0.9326867  0.95511272],0.9372455525486206,"('MHPS_low_r', 'MHPS_high_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.013078038219293544,0.010175158038552333,0.005087579019276167
20,"(1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24)",[0.92854864 0.92361321 0.94169935 0.9326867  0.95511272],0.9363321236988258,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.014279580797586625,0.011109998984814852,0.005554999492407425
