Feature Name,Relative Importance
Skew_r,0.04661246612466119
SmallKurtosis_r,0.04579945799457989
Gskew_r,0.043360433604336
Harmonics_phase_2_r,0.026829268292682895
Beyond1Std_r,0.024661246612466083
Harmonics_phase_3_r,0.005962059620596161
MHPS_low_r,0.004336043360433572
Rcs_r,0.002439024390243849
MHPS_high_r,0.0021680216802167475
Harmonics_phase_5_r,0.0018970189701896345
Psi_eta_r,0.001626016260162555
StetsonK_r,0.00027100271002706845
Autocor_length_r,0.00027100271002705734
Harmonics_phase_7_r,0.0
Psi_CS_r,0.0
AndersonDarling_r,0.0
Mean_r,0.0
Pvar_r,0.0
Harmonics_phase_4_r,-3.3306690738754695e-17
Harmonics_mag_1_r,-4.4408920985006264e-17
PercentAmplitude_r,-0.0010840108401084403
Harmonics_phase_6_r,-0.0013550135501355087
Period_band_r,-0.0013550135501355308
Eta_e_r,-0.0016260162601626105
Amplitude_r,-0.002981029810298119
MHPS_ratio_r,-0.0029810298102981416
LinearTrend_r,-0.008401084010840165
SF_ML_gamma_r,-0.009485094850948561
GP_DRW_tau_r,-0.01111111111111116
IAR_phi_r,-0.015176151761517664
