Feature Name,Relative Importance
Beyond1Std_r,0.07018970189701902
Skew_r,0.049593495934959396
StetsonK_r,0.048509485094851
GP_DRW_tau_r,0.03523035230352308
MHPS_low_r,0.029268292682926876
AndersonDarling_r,0.028455284552845583
Period_band_r,0.02682926829268296
IAR_phi_r,0.025745257452574565
Gskew_r,0.020596205962059688
MHPS_ratio_r,0.01978319783197837
MHPS_high_r,0.014905149051490586
PercentAmplitude_r,0.01084010840108408
LinearTrend_r,0.009214092140921459
Harmonics_phase_2_r,0.008672086720867256
Eta_e_r,0.008401084010840155
Rcs_r,0.008130081300813052
Amplitude_r,0.007588075880758849
SF_ML_gamma_r,0.006775067750677555
Harmonics_phase_3_r,0.00433604336043365
SmallKurtosis_r,0.004336043360433628
Mean_r,0.0037940379403794354
Harmonics_mag_1_r,0.002439024390243916
Autocor_length_r,0.0018970189701897455
Harmonics_phase_6_r,0.0018970189701897234
Harmonics_phase_7_r,0.001084010840108407
Psi_eta_r,0.0008130081300813275
Psi_CS_r,0.0008130081300813275
Pvar_r,0.0
Harmonics_phase_5_r,-0.000542005420054148
Harmonics_phase_4_r,-0.0008130081300812386
