Feature Name,Relative Importance
SmallKurtosis_r,0.07344173441734415
Gskew_r,0.03360433604336042
Skew_r,0.01598915989159887
SF_ML_gamma_r,0.010569105691056879
Psi_eta_r,0.004336043360433572
MHPS_high_r,0.00379403794037938
Harmonics_phase_2_r,0.0032520325203251764
Beyond1Std_r,0.002981029810298075
PercentAmplitude_r,0.00189701897018969
Harmonics_phase_4_r,0.001084010840108407
Harmonics_mag_1_r,0.00027100271002710173
Mean_r,0.0
Eta_e_r,0.0
Psi_CS_r,0.0
AndersonDarling_r,0.0
StetsonK_r,0.0
Harmonics_phase_7_r,0.0
Harmonics_phase_6_r,0.0
Harmonics_phase_5_r,0.0
Pvar_r,0.0
Amplitude_r,0.0
Rcs_r,-0.0005420054200542035
Autocor_length_r,-0.0005420054200542035
Harmonics_phase_3_r,-0.001084010840108407
MHPS_ratio_r,-0.0016260162601626105
Period_band_r,-0.002168021680216814
GP_DRW_tau_r,-0.002439024390243916
MHPS_low_r,-0.0027100271002710175
IAR_phi_r,-0.0037940379403794354
LinearTrend_r,-0.012195121951219546
