,EA_conf,NotEA_conf
0,,
1,,0.11018054175634845
2,,0.17403622400034255
3,,
4,,
5,,
6,,
7,,
8,,0.11081402696453634
9,,
10,,0.47582700544592915
11,,
12,0.37155951342793003,0.1046891607258327
13,,0.11145846914766615
14,,
15,,
16,,
17,,0.12919119191392495
18,,
19,,
20,,0.18250013119719885
21,,
22,,
23,,
24,,
25,,0.3136282804522353
26,,0.11080586398731061
27,,0.1371493748030538
28,,0.2063137020956235
29,,
30,,
31,,
32,,
33,,0.17542740982340205
34,0.12637326686186034,0.08979623648762419
35,,
36,,
37,0.12206938488572472,0.09130117346114969
38,0.18483347773207784,0.09853201681092484
39,,0.11541759886327334
40,,0.10746975318539638
41,,
42,,0.16303667993183385
43,,0.2333019882301877
44,,
45,,
46,,0.12428390793619137
47,,
48,,
49,,0.1413543120777731
50,,0.27250545275016047
51,,0.20896610423885295
52,,
53,,
54,,0.18034783517264213
55,,
56,,
57,,
58,,
59,,
60,,0.2739559251196938
61,,0.13055152071141476
62,,
63,,0.13943357645255552
64,,0.19216412052263382
65,,
66,,0.1696683503774243
67,,
68,,
69,,0.12527404606432233
70,,
71,,
72,,
73,,0.11247359422033817
74,,
75,,
76,,0.13389370532291614
77,,
78,,
79,0.15703011574400433,0.0951276284872858
80,0.15090556753625514,0.09423365872629462
81,,0.21567199778521626
82,,0.8459055458881378
83,,0.18037244833612612
84,,
85,,
86,,
87,,
88,0.21303957847567506,0.10131477741554064
89,,
90,,
91,,
92,,
93,,0.20916570047446795
94,,
95,,0.14068073364048883
96,,0.1359446273117981
97,,0.21281188471174117
98,,
99,,
100,,
101,,
102,,0.2065463504465168
103,,
104,,
105,,0.1713617336729318
106,,
107,,
108,,0.12042020867986492
109,,
110,,
111,,
112,,
113,,
114,,
115,,0.13128712569885487
116,0.3473925503989705,0.1076185175665744
117,,
118,,
119,,
120,,
121,,
122,0.20231521393553972,0.10489748954849805
123,,
124,0.15097750813284233,0.09428699639239498
125,,
126,,
127,,0.2675506907593317
128,,0.3871894195659062
129,,
130,,0.2074533718611842
131,,
132,,
133,,
134,,
135,,0.1678573211283065
136,,
137,,
138,,0.2703534335886213
139,0.30677052128995064,0.10601691131424988
140,,0.28477824488178727
141,0.3356321203957948,0.10423266492737703
142,,
143,,
144,,0.23538752608603175
145,,
146,,
147,,
148,,
149,,
150,,0.15983369709647635
151,,
152,,0.14316378636036917
153,0.16539594040359012,0.09616656362682824
154,,
155,,0.17047837449721848
156,,
157,,
158,,0.15775883676250985
159,0.14198242065270084,0.09290744156019284
160,,
161,,0.1461658795812142
162,,
163,,
164,,
165,,
166,,
167,,
168,,0.1973706217852897
169,,
170,,0.11482972439556027
171,,0.11361760313405371
172,0.14387544589717255,0.0935344531289894
173,,
174,,0.12309636573221952
175,0.17410267422751174,0.0976113233135804
176,,0.1595676912737819
177,,
178,,
179,,0.19933365422996838
180,,0.12501879532540752
181,,
182,,0.20527295055482347
183,,
184,,
185,,
186,0.5407465903516301,0.11276975839321592
187,,
188,,
189,,
190,0.13595100392526954,0.0918994540189305
191,0.1240561002941038,0.08971616497823258
192,,
193,,
194,,0.1318711600878779
195,,
196,,
197,,
198,,0.23596680211583315
199,,0.15534330321022288
200,,
201,,0.548641465169109
202,,
203,,
204,,0.12324315019475957
205,,0.21877428408907973
206,,
207,0.16976131263684435,0.09716289572432801
208,,0.1976232265794855
209,,0.1203416030690596
210,,
211,,0.1355531979269099
212,,0.11725416850402572
213,,0.11186638686837876
214,0.11794340303545278,0.0884732978547403
215,,
216,,0.5657503004559368
217,,
218,0.13417813520218683,0.09190669251706866
219,,
220,,0.20348412683261735
221,,0.11848622129575972
222,,
223,,
224,,
225,,0.658993693551347
226,,
227,0.19352200024786675,0.10446152237516183
228,,
229,,
230,,0.12540035159253168
231,0.12638086827777117,0.08987456402767224
232,,
233,,
234,,
235,,0.15012342131976567
236,,
237,,
238,,
239,,0.2139635097955208
240,,0.19442712315487173
241,,0.13385395520903903
242,,
243,,
244,,
245,,
246,,
247,0.2134145785059495,0.1033719275699412
248,,0.30494006330499657
249,0.1898160399570159,0.10096048585649257
250,0.16010377921663208,0.09936937594875761
251,,0.2823064246167564
252,,
253,,
254,0.33466700935793914,0.10501462392974742
255,,
256,,0.23915993215737064
257,,0.1448397579596384
258,,0.11383306729065941
259,,
260,,
261,,
262,,
263,,
264,0.2909574508861921,0.11325726528984312
265,,
266,,
267,,
268,,
269,,
270,,
271,,0.14377644253308808
272,0.27177594910762043,0.1036781692712936
273,,
274,0.10999943844067292,0.08600611412544723
275,,0.14779554717711552
276,,
277,,0.1065905106848156
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,0.27505720320851096
286,,
287,,
288,,
289,,
290,,0.12968207615379002
291,,
292,,0.11986471517838236
293,,
294,,
295,,
296,,
297,0.5527298355134084,0.11484440802531351
298,,
299,,
300,0.13406276859792815,0.09191781748288204
301,,
302,0.20771406438674778,0.10164292294988934
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,0.10862492862785841
311,,0.15198119642627198
312,,
313,0.15999694103322223,0.09847907110052886
314,0.1377678384087854,0.0926746674477508
315,0.15947885241925833,0.09827643132361447
316,,
317,,
318,,
319,,
320,,0.13737182766476902
321,,0.16134784331998683
322,,0.2819352464774221
323,,
324,,0.18860387444765006
325,,
326,,
327,0.12865571801848422,0.09076668662644899
328,,
329,0.15820890878603994,0.09534860358692329
330,,
331,,0.1141118895683525
332,,0.1276131891880815
333,,0.3703712127826609
334,,
335,,
336,,0.10724772089918065
337,0.5211188998761873,0.10563255339079042
338,,0.1117039001796549
339,,
340,,
341,,0.15495385571961204
342,,0.11744447622948735
343,,
344,,
345,,0.26769558369175717
346,,
347,0.10273061264891536,0.0848455480719679
348,,0.12987382677924444
349,0.18641888217443423,0.09874303503258594
350,,
351,,
352,,
353,,0.20863935376482143
354,,0.16508084249585472
355,,0.12512512668868775
356,,
357,,
358,,
359,,
360,,0.2034094940535965
361,,
362,0.21559350515960493,0.10188418453629966
363,,
364,,
365,,0.16936018589434482
366,,0.25701008911653256
367,0.13597814541939507,0.09345645241998679
368,,
