num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
11,"(4, 9, 10, 11, 12, 13, 17, 20, 21, 23, 24)",[0.93749502 0.94618726 0.95067265 0.9461786  0.96858712],0.9498241293352562,"('GP_DRW_tau_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.01324902046766412,0.010308188036613587,0.005154094018306793
12,"(4, 5, 9, 10, 11, 12, 13, 17, 20, 21, 23, 24)",[0.94196313 0.94618726 0.95067265 0.94168527 0.96858712],0.9498190863784783,"('GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.012775985498802786,0.00994015076028685,0.004970075380143425
10,"(4, 9, 10, 11, 12, 17, 20, 21, 23, 24)",[0.9330237  0.95066868 0.95515605 0.93718815 0.96858712],0.9489247412581678,"('GP_DRW_tau_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Beyond1Std_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.016450422462793757,0.012798987550972283,0.0063994937754861415
13,"(3, 4, 5, 9, 10, 11, 12, 13, 17, 20, 21, 23, 24)",[0.94196313 0.94168527 0.95067265 0.94168527 0.96858712],0.9489186893349698,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.013393547313220013,0.010420634832508033,0.005210317416254016
14,"(2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 20, 21, 23, 24)",[0.93749502 0.94168527 0.95067265 0.9416618  0.96858712],0.9480203729542327,"('MHPS_high_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.01432824243126021,0.011147859389008532,0.005573929694504266
9,"(4, 9, 10, 11, 12, 17, 20, 23, 24)",[0.93749502 0.95066868 0.94618726 0.93718815 0.96410752],0.9471293247848754,"('GP_DRW_tau_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'SmallKurtosis_r')",0.01276676647719675,0.00993297804827689,0.004966489024138445
8,"(4, 9, 10, 12, 17, 20, 23, 24)",[0.93749502 0.95065677 0.93271378 0.93715781 0.96858712],0.945322099802308,"('GP_DRW_tau_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'SmallKurtosis_r')",0.01682316446034869,0.01308899348834077,0.0065444967441703845
15,"(2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 19, 20, 21, 23, 24)",[0.93749502 0.94168527 0.95067265 0.92813406 0.96858712],0.9453148250214107,"('MHPS_high_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.017621219262866115,0.01370990723724394,0.006854953618621969
16,"(1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 19, 20, 21, 23, 24)",[0.93749502 0.94168527 0.95067265 0.92813406 0.95958925],0.9435152496242438,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Skew_r', 'SmallKurtosis_r')",0.013911748447726106,0.010823812920149488,0.005411906460074743
7,"(4, 9, 10, 17, 20, 23, 24)",[0.94195387 0.94613527 0.93271378 0.93264875 0.95958925],0.9426081822810277,"('GP_DRW_tau_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'SmallKurtosis_r')",0.012831229140487465,0.009983132190325608,0.004991566095162804
