num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
17,"(2, 5, 7, 9, 10, 11, 12, 13, 14, 17, 19, 20, 22, 23, 26, 27, 29)",[0.95982063 0.98206242 0.93718815 0.92376068 0.94169935],0.9489062462803876,"('MHPS_high_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Gskew_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.025961654608227018,0.020199049287935953,0.010099524643967975
13,"(5, 7, 9, 11, 12, 13, 14, 17, 20, 22, 23, 26, 29)",[0.94642857 0.98654709 0.93721847 0.92824968 0.9326867 ],0.9462260999327776,"('Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'Pvar_r', 'LinearTrend_r')",0.027042639793299118,0.021040092486541654,0.010520046243270829
11,"(7, 9, 11, 12, 13, 14, 17, 20, 23, 26, 29)",[0.95086838 0.98206242 0.94168527 0.92376068 0.93273543],0.9462224360603475,"('Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'LinearTrend_r')",0.02578989819885443,0.020065416966314337,0.010032708483157168
16,"(5, 7, 9, 10, 11, 12, 13, 14, 17, 19, 20, 22, 23, 26, 27, 29)",[0.95981422 0.98206242 0.93718815 0.9192679  0.93273543],0.9462136240374347,"('Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Gskew_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.02850510612243765,0.022177940975399327,0.011088970487699665
10,"(7, 9, 11, 12, 13, 14, 17, 20, 23, 26)",[0.95086838 0.98206242 0.93720837 0.92376068 0.93273543],0.9453270547372814,"('Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r')",0.026150309633213402,0.020345829306606607,0.010172914653303304
9,"(7, 9, 12, 13, 14, 17, 20, 23, 26)",[0.9553429  0.98206242 0.93720837 0.91928089 0.93273002],0.9453249184483944,"('Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r')",0.027881070958116035,0.021692420417031563,0.010846210208515781
14,"(5, 7, 9, 10, 11, 12, 13, 14, 17, 20, 22, 23, 26, 29)",[0.94642857 0.98654709 0.92821503 0.92374228 0.94168527],0.9453236487573161,"('Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'Pvar_r', 'LinearTrend_r')",0.02858026087822453,0.022236413928655593,0.011118206964327795
12,"(5, 7, 9, 11, 12, 13, 14, 17, 20, 23, 26, 29)",[0.95086838 0.98206242 0.94616127 0.91924191 0.92824968],0.9453167324356592,"('Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'LinearTrend_r')",0.02788198703223625,0.021693133153819138,0.010846566576909569
15,"(5, 7, 9, 10, 11, 12, 13, 14, 17, 20, 22, 23, 26, 27, 29)",[0.94642857 0.98654709 0.92823813 0.93273002 0.92818035],0.9444248319057001,"('Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.028398590490976195,0.022095068195436232,0.011047534097718116
18,"(2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 17, 19, 20, 22, 23, 26, 27, 29)",[0.95532509 0.98206242 0.92371159 0.91928089 0.94170404],0.9444168044747755,"('MHPS_high_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Gskew_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.029332030499235037,0.02282131623388663,0.011410658116943317
8,"(7, 9, 13, 14, 17, 20, 23, 26)",[0.94642857 0.98206242 0.94169935 0.91928089 0.92821503],0.9435372516844879,"('Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r')",0.02768045055394766,0.02153633092685406,0.010768165463427029
6,"(9, 13, 14, 17, 23, 26)",[0.95086838 0.97757848 0.94616127 0.91029767 0.93273002],0.9435271619201128,"('Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Skew_r', 'Pvar_r')",0.02839941339971901,0.02209570844639506,0.01104785422319753
7,"(9, 13, 14, 17, 20, 23, 26)",[0.9464243  0.97757848 0.95065677 0.90579929 0.92824968],0.9417417023528423,"('Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r')",0.030737384027136834,0.023914729023072557,0.011957364511536278
19,"(2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 17, 19, 20, 21, 22, 23, 26, 27, 29)",[0.9553429  0.97757848 0.92821503 0.91479135 0.92824968],0.9408354883462138,"('MHPS_high_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.029062855964043764,0.02261188930076417,0.011305944650382083
5,"(9, 13, 14, 17, 23)",[0.94195387 0.97309363 0.93720837 0.91029767 0.92824968],0.9381606430886329,"('Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Skew_r')",0.02640440315312354,0.020543522697488697,0.010271761348744348
4,"(9, 13, 17, 23)",[0.94196313 0.97309363 0.93718815 0.90582202 0.93273002],0.9381593896923942,"('Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Skew_r')",0.02763223834091439,0.021498820187186837,0.010749410093593419
20,"(2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 17, 19, 20, 21, 22, 23, 25, 26, 27, 29)",[0.95535358 0.96860734 0.91026879 0.92376682 0.92376682],0.936352669515075,"('MHPS_high_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'StetsonK_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.028150950046088013,0.021902395516153392,0.010951197758076696
