num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
17,"(2, 5, 7, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 23, 26, 27, 29)",[0.95981422 0.98206242 0.93718815 0.93273543 0.93720837],0.9498017173600413,"('MHPS_high_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Gskew_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.024045288228349275,0.018708051139126613,0.009354025569563305
14,"(5, 7, 9, 11, 12, 13, 14, 15, 17, 20, 23, 26, 27, 29)",[0.94196313 0.98206242 0.94616127 0.92821503 0.9461786 ],0.9489160913026966,"('Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.022924628743578673,0.01783613998748911,0.008918069993744554
18,"(2, 5, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 23, 26, 27, 29)",[0.95982063 0.97757848 0.9461786  0.92376068 0.93721847],0.9489113711058133,"('MHPS_high_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.02382170705014368,0.018534097386695186,0.009267048693347593
13,"(5, 7, 9, 11, 13, 14, 15, 17, 20, 23, 26, 27, 29)",[0.9375     0.97757848 0.95065677 0.92823813 0.94168527],0.9471317304425796,"('Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.021651199961206714,0.016845369132242605,0.0084226845661213
16,"(2, 5, 7, 9, 10, 11, 12, 13, 14, 15, 17, 20, 23, 26, 27, 29)",[0.95089188 0.97309363 0.94168527 0.92376068 0.9461786 ],0.9471220130320882,"('MHPS_high_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.020443291330334068,0.015905575180797455,0.007952787590398728
9,"(7, 9, 13, 15, 17, 20, 23, 27, 29)",[0.93749502 0.97757848 0.95065677 0.92376068 0.94168527],0.9462352439133497,"('Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.023021764804802978,0.017911715143152873,0.008955857571576437
10,"(7, 9, 13, 15, 17, 20, 23, 26, 27, 29)",[0.93749502 0.97757848 0.95065677 0.92376068 0.94168527],0.9462352439133497,"('Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.023021764804802978,0.017911715143152873,0.008955857571576437
19,"(2, 5, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 26, 27, 29)",[0.95982063 0.97309363 0.93721847 0.93271378 0.92823813],0.9462169272486196,"('MHPS_high_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.022217041764348952,0.017285613278593074,0.008642806639296535
8,"(7, 9, 13, 15, 17, 20, 23, 27)",[0.93749502 0.97309363 0.95065677 0.92376068 0.94168527],0.945338274714811,"('Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'SF_ML_gamma_r')",0.021034049100098588,0.016365204795657336,0.008182602397828668
7,"(7, 9, 13, 17, 20, 23, 27)",[0.94196313 0.97309363 0.94616127 0.92376068 0.94168527],0.9453327980737718,"('Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'SF_ML_gamma_r')",0.020414412433389623,0.01588310641786363,0.007941553208931815
11,"(5, 7, 9, 13, 15, 17, 20, 23, 26, 27, 29)",[0.94196313 0.97757848 0.95065677 0.91477078 0.94168527],0.9453308864030505,"('Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.025877628386477183,0.020133674032767654,0.010066837016383827
6,"(7, 9, 13, 17, 20, 23)",[0.94195387 0.97757848 0.9416618  0.92374228 0.94169935],0.9453271559933365,"('Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r')",0.022586253755872233,0.017572872751343026,0.008786436375671513
15,"(2, 5, 7, 9, 11, 12, 13, 14, 15, 17, 20, 23, 26, 27, 29)",[0.95089188 0.97757667 0.94169935 0.91029767 0.94616127],0.9453253676412785,"('MHPS_high_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.027637755253237223,0.021503112532401645,0.010751556266200822
12,"(5, 7, 9, 11, 13, 15, 17, 20, 23, 26, 27, 29)",[0.93303438 0.98206242 0.94613527 0.9192029  0.94169935],0.9444268619780015,"('Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.026916521556201292,0.020941968213428527,0.010470984106714262
