num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
21,"(1, 2, 3, 6, 7, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29)",[0.92852014 0.9551344  0.89188752 0.8786798  0.86928223],0.9047008204723108,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'IAR_phi_r', 'LinearTrend_r')",0.04147590467557089,0.03226966291039503,0.016134831455197514
20,"(1, 2, 3, 6, 7, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 22, 23, 24, 28, 29)",[0.91958516 0.9551344  0.89188752 0.88312369 0.86928223],0.9038026011783977,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'IAR_phi_r', 'LinearTrend_r')",0.039176225781150986,0.030480434602885933,0.015240217301442966
19,"(1, 2, 3, 6, 7, 9, 11, 12, 13, 16, 17, 18, 19, 20, 22, 23, 24, 28, 29)",[0.91954023 0.95961202 0.8875668  0.8875668  0.86468447],0.9037940645296043,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'IAR_phi_r', 'LinearTrend_r')",0.042316314593407144,0.032923530377958726,0.01646176518897936
23,"(1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29)",[0.91509566 0.95514883 0.8741332  0.8740113  0.8825555 ],0.9001888991589858,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'IAR_phi_r', 'LinearTrend_r')",0.04030943009468528,0.03136210605749065,0.015681053028745326
22,"(1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29)",[0.92403296 0.9326867  0.88731227 0.8786798  0.87812974],0.9001682944092261,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'IAR_phi_r', 'LinearTrend_r')",0.030086235203436815,0.023408113116568267,0.011704056558284133
18,"(1, 2, 3, 6, 7, 9, 12, 13, 16, 17, 18, 19, 20, 22, 23, 24, 28, 29)",[0.91053599 0.95060908 0.88287815 0.88301049 0.86910232],0.8992272054632405,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'IAR_phi_r', 'LinearTrend_r')",0.03727683960222953,0.029002647627293817,0.014501323813646909
24,"(1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 28, 29)",[0.91513629 0.95065677 0.86957749 0.86514272 0.86910232],0.8939231175913995,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'IAR_phi_r', 'LinearTrend_r')",0.04341848479904497,0.03378105624228934,0.01689052812114467
17,"(1, 2, 3, 6, 7, 12, 13, 16, 17, 18, 19, 20, 22, 23, 24, 28, 29)",[0.89697442 0.94162891 0.8737055  0.88301049 0.87352131],0.8937681281206944,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'IAR_phi_r', 'LinearTrend_r')",0.032663106523838574,0.025413006548629002,0.012706503274314501
25,"(1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29)",[0.91513629 0.93718815 0.85585003 0.85615223 0.84223718],0.8813127775974315,"('MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'SF_ML_gamma_r', 'IAR_phi_r', 'LinearTrend_r')",0.04834605779136425,0.03761487543616376,0.018807437718081882
5,"(13, 22, 23, 24, 28)",[0.85621439 0.93254008 0.8875668  0.85171976 0.8371206 ],0.8730323279401915,"('Harmonics_phase_7_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'IAR_phi_r')",0.04369665779276469,0.033997484281854146,0.016998742140927073
