Feature Name,Relative Importance
AndersonDarling_r,0.07967479674796746
Skew_r,0.03279132791327912
Period_band_r,0.03089430894308942
GP_DRW_tau_r,0.030081300813008093
Beyond1Std_r,0.028997289972899708
Gskew_r,0.02547425474254742
MHPS_low_r,0.023577235772357708
StetsonK_r,0.021138211382113803
MHPS_ratio_r,0.019512195121951202
SmallKurtosis_r,0.017886178861788605
Psi_CS_r,0.016260162601625994
Harmonics_phase_2_r,0.014634146341463395
Mean_r,0.013550135501354999
PercentAmplitude_r,0.013550135501354987
Harmonics_phase_3_r,0.013279132791327886
Amplitude_r,0.011111111111111094
Harmonics_phase_7_r,0.009485094850948483
Harmonics_phase_5_r,0.007317073170731681
Psi_eta_r,0.007317073170731681
Harmonics_phase_6_r,0.006504065040650398
LinearTrend_r,0.005691056910569092
Harmonics_mag_1_r,0.0043360433604335835
Harmonics_phase_4_r,0.003794037940379402
Rcs_r,0.003794037940379391
MHPS_high_r,0.0008130081300812941
SF_ML_gamma_r,0.0002710027100270906
Pvar_r,0.0
IAR_phi_r,-0.0008130081300813163
Eta_e_r,-0.0013550135501354977
Autocor_length_r,-0.028997289972899742
