,Number of selected features,Selected F1 Score
Euclidean,4.0,0.933681319563786
Braycurtis,3.0,0.9309631750576632
Canberra,1.0,0.9047238589833217
Cityblock,2.0,0.922938820604889
Chebyshev,2.0,0.9247115968427444
Clark,1.0,0.9047238589833217
Correlation,4.0,0.9130622639372872
Cosine,4.0,0.8950054156980461
Hellinger,1.0,0.9110897946078009
Jaccard,6.0,0.9426433034065174
Lorentzian,3.0,0.9309791448295803
Marylandbridge,5.0,0.8731129956851194
Meehl,5.0,0.9318731666254343
Motyka,3.0,0.9318626584617362
Soergel,4.0,0.9327718943145263
Wave_Hedges,1.0,0.9047238589833217
Kulczynski,3.0,0.926523061506987
Add_Chisq,1.0,0.9101839779805883
