num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
5,"(5, 6, 19, 26, 27)",[0.62352941 0.71739786 0.71417818 0.6722239  0.71898374],0.6892626187623868,"('Psi_CS_r', 'Psi_eta_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r')",0.047770287032641405,0.03716690622505233,0.018583453112526165
6,"(5, 6, 19, 26, 27, 31)",[0.62352941 0.71739786 0.71417818 0.6722239  0.71898374],0.6892626187623868,"('Psi_CS_r', 'Psi_eta_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.047770287032641405,0.03716690622505233,0.018583453112526165
7,"(5, 6, 19, 23, 26, 27, 31)",[0.6192533  0.71746606 0.7099187  0.6722239  0.71898374],0.6875691414082097,"('Psi_CS_r', 'Psi_eta_r', 'Autocor_length_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.049052789578423066,0.038164736776497156,0.019082368388248575
8,"(5, 6, 19, 20, 23, 26, 27, 31)",[0.62392069 0.71286013 0.70026882 0.67660329 0.71417818],0.6855662210852239,"('Psi_CS_r', 'Psi_eta_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.04324492504210009,0.033646020854990834,0.01682301042749542
9,"(5, 6, 19, 20, 23, 24, 26, 27, 31)",[0.62731774 0.71739786 0.70450329 0.64433812 0.71843434],0.6823982711279706,"('Psi_CS_r', 'Psi_eta_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.04976132003293884,0.0387159975412187,0.019357998770609345
10,"(5, 6, 13, 19, 20, 23, 24, 26, 27, 31)",[0.6371708  0.71272142 0.7056554  0.64502609 0.68502825],0.6771203903693869,"('Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.039699587955640096,0.030887628154971664,0.01544381407748583
11,"(5, 6, 13, 19, 20, 23, 24, 26, 27, 30, 31)",[0.632493   0.71272142 0.70085366 0.6447111  0.68502825],0.6751614847080212,"('Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.040301669297929235,0.03135606789395468,0.015678033946977338
4,"(5, 6, 26, 27)",[0.56501371 0.68533301 0.73990508 0.6666532  0.69933391],0.671247783569816,"('Psi_CS_r', 'Psi_eta_r', 'Q31_r', 'Rcs_r')",0.07496196758192787,0.058322957483156475,0.029161478741578237
12,"(5, 6, 13, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.61833744 0.71286013 0.70026882 0.64863445 0.67476908],0.6709739853547317,"('Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.044138842006884185,0.03434151862289019,0.0171707593114451
13,"(4, 5, 6, 13, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.61778581 0.70830902 0.68695705 0.64433812 0.66999128],0.6654762556727178,"('GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.04079722842053836,0.03174162972711672,0.01587081486355836
3,"(6, 26, 27)",[0.61961842 0.66094995 0.69711529 0.64038058 0.7039823 ],0.664409307971985,"('Psi_eta_r', 'Q31_r', 'Rcs_r')",0.04157383998811799,0.03234585991074112,0.01617292995537056
14,"(4, 5, 6, 13, 17, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.63287496 0.6991644  0.68380327 0.6211165  0.66999128],0.6613900845527008,"('GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.03829349187220174,0.029793637632351246,0.014896818816175621
15,"(2, 4, 5, 6, 13, 17, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.62473075 0.69476651 0.69178862 0.60936273 0.67095183],0.6583200880033796,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.04501495818826702,0.03502316677655226,0.01751158338827613
2,"(6, 27)",[0.58717949 0.66735204 0.69328479 0.6476665  0.69323478],0.65774352045175,"('Psi_eta_r', 'Rcs_r')",0.05042523749326328,0.039232547880809335,0.019616273940404667
16,"(2, 4, 5, 6, 13, 15, 17, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.61456583 0.69055807 0.67566257 0.62239961 0.66037161],0.6527115385460556,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.03809188908270764,0.029636783813015474,0.014818391906507735
17,"(2, 4, 5, 6, 12, 13, 15, 17, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.56025641 0.68609234 0.68272358 0.64863445 0.6515625 ],0.6458538567232075,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.058465212886422493,0.04548792188107633,0.022743960940538165
18,"(2, 3, 4, 5, 6, 12, 13, 15, 17, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.55228654 0.68578905 0.66573489 0.65426357 0.66162238],0.6439392833505055,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.06041129816824203,0.04700204234524516,0.02350102117262258
19,"(2, 3, 4, 5, 6, 7, 12, 13, 15, 17, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.54998393 0.69055807 0.6566061  0.65836155 0.6566061 ],0.6424231495680222,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.061689478768443114,0.04799651027619759,0.023998255138098796
20,"(2, 3, 4, 5, 6, 7, 9, 12, 13, 15, 17, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.57443157 0.67095183 0.6546776  0.63591837 0.63798701],0.6347932765864335,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.042073711776189515,0.03273477714414834,0.01636738857207417
21,"(2, 3, 4, 5, 6, 7, 9, 12, 13, 15, 16, 17, 18, 19, 20, 23, 24, 26, 27, 30, 31)",[0.58358358 0.67049894 0.645469   0.63176564 0.61894468],0.6300523683589903,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.03707016718148254,0.028841849462611258,0.014420924731305627
22,"(2, 3, 4, 5, 6, 7, 9, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 30, 31)",[0.54323762 0.67788334 0.65769167 0.61894468 0.60877193],0.6213058487890709,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.05968585339460641,0.04643762166561337,0.02321881083280668
1,"(6,)",[0.54016941 0.65021718 0.6903588  0.58677087 0.62760671],0.6190245941560557,"('Psi_eta_r',)",0.06652207647807205,0.05175643547351644,0.025878217736758215
23,"(2, 3, 4, 5, 6, 7, 9, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 30, 31)",[0.53758005 0.66813447 0.6553467  0.59014202 0.60189444],0.6106195352770782,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.06066439506026739,0.04719896032577417,0.023599480162887085
24,"(2, 3, 4, 5, 6, 7, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 30, 31)",[0.55039626 0.64954508 0.6393632  0.57048773 0.6033938 ],0.6026372136143706,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.0491526737986628,0.038242450093238914,0.019121225046619457
