num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
9,"(0, 5, 6, 16, 18, 19, 22, 27, 30)",[0.5713944  0.65459739 0.69018423 0.65445837 0.67848513],0.6498239052896798,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Gskew_r', 'Rcs_r', 'StetsonK_r')",0.05344669578984134,0.04158334508441604,0.02079167254220802
8,"(0, 5, 6, 16, 18, 22, 27, 30)",[0.5713944  0.65459739 0.69018423 0.65445837 0.67848513],0.6498239052896798,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Gskew_r', 'Rcs_r', 'StetsonK_r')",0.05344669578984134,0.04158334508441604,0.02079167254220802
10,"(0, 5, 6, 16, 18, 19, 22, 27, 30, 31)",[0.5713944  0.65459739 0.69018423 0.65445837 0.67848513],0.6498239052896798,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Gskew_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.05344669578984134,0.04158334508441604,0.02079167254220802
7,"(0, 5, 6, 16, 22, 27, 30)",[0.5713944  0.65459739 0.69018423 0.65445837 0.67848513],0.6498239052896798,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'Gskew_r', 'Rcs_r', 'StetsonK_r')",0.05344669578984134,0.04158334508441604,0.02079167254220802
6,"(0, 5, 6, 16, 22, 27)",[0.56246512 0.65459739 0.69456977 0.65445837 0.67848513],0.6489151560003446,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'Gskew_r', 'Rcs_r')",0.05888638786686867,0.04581561032456183,0.02290780516228091
11,"(0, 5, 6, 16, 18, 19, 22, 26, 27, 30, 31)",[0.5625     0.65445837 0.69456977 0.64090177 0.68329005],0.647143993452233,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Gskew_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.059770347654492885,0.04650336107035276,0.02325168053517638
5,"(5, 6, 16, 22, 27)",[0.56246512 0.65459739 0.69456977 0.6452834  0.67848513],0.6470801608709124,"('Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'Gskew_r', 'Rcs_r')",0.05878987847333055,0.04574052273764787,0.022870261368823933
12,"(0, 5, 6, 16, 18, 19, 22, 23, 26, 27, 30, 31)",[0.5625     0.66356889 0.69018423 0.62312892 0.68329005],0.6445344186628983,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Gskew_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.06065717120184905,0.04719333991850648,0.02359666995925324
13,"(0, 5, 6, 16, 18, 19, 20, 22, 23, 26, 27, 30, 31)",[0.55342903 0.66356889 0.69018423 0.6232502  0.67903262],0.6418929931483941,"('MHPS_ratio_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Gskew_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.06388986323151605,0.049708484142760564,0.024854242071380282
4,"(5, 6, 16, 27)",[0.55342903 0.65468074 0.69456977 0.6366544  0.66942837],0.6417524613983148,"('Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'Rcs_r')",0.061773664485544,0.04806200962416759,0.024031004812083794
