Feature Name,Relative Importance
IAR_phi_r,0.041734417344173415
Psi_eta_r,0.031165311653116513
Psi_CS_r,0.01897018970189699
Harmonics_mag_6_r,0.017073170731707287
Harmonics_mag_7_r,0.016260162601626004
Skew_r,0.009214092140921382
Q31_r,0.00867208672086719
Rcs_r,0.0056910569105691035
Harmonics_mag_2_r,0.005149051490514878
SmallKurtosis_r,0.004878048780487776
Harmonics_phase_7_r,0.004065040650406515
MedianBRP_r,0.003794037940379402
SF_ML_gamma_r,0.003794037940379369
AndersonDarling_r,0.0035230352303523118
PercentAmplitude_r,0.0035230352303522784
Harmonics_phase_2_r,0.002439024390243916
Beyond1Std_r,0.001897018970189701
GP_DRW_sigma_r,0.0013550135501355087
Pvar_r,0.0008130081300813053
Autocor_length_r,0.0
Harmonics_phase_6_r,0.0
Eta_e_r,0.0
GP_DRW_tau_r,-0.00027100271002710173
LinearTrend_r,-0.00027100271002710173
MHPS_ratio_r,-0.00027100271002711285
Amplitude_r,-0.0005420054200542035
StetsonK_r,-0.0013550135501355198
Harmonics_phase_3_r,-0.0016260162601626105
Period_band_r,-0.002168021680216814
Harmonics_phase_4_r,-0.002439024390243916
MHPS_low_r,-0.002439024390243916
ExcessVar_r,-0.0027100271002710287
Mean_r,-0.002981029810298119
Harmonics_phase_5_r,-0.0037940379403794246
Gskew_r,-0.004065040650406526
Harmonics_mag_1_r,-0.0043360433604336165
