num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
22,"(0, 2, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 23, 26, 27, 31, 33, 34)",[0.63389939 0.65885668 0.64390678 0.66356889 0.74863124],0.6697725943306908,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Pvar_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.05246839223222386,0.040822191680402395,0.020411095840201197
21,"(0, 2, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 26, 27, 31, 33, 34)",[0.63346105 0.65370576 0.65244408 0.66815476 0.72853433],0.6672599960796217,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Q31_r', 'Rcs_r', 'Pvar_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.04184975919695525,0.032560534429098904,0.01628026721454945
23,"(0, 2, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 26, 27, 31, 33, 34)",[0.62939781 0.65426357 0.64390678 0.66810137 0.73465766],0.6660654361721683,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Pvar_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.046992608928036236,0.036561846239388296,0.018280923119694148
20,"(0, 2, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 26, 27, 31, 33, 34)",[0.62392069 0.65370576 0.65244408 0.67240859 0.72376891],0.6652496064877033,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Q31_r', 'Rcs_r', 'Pvar_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.042554897629525204,0.033109156085508455,0.016554578042754228
25,"(0, 2, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 26, 27, 29, 31, 33, 34, 35)",[0.62046764 0.66343348 0.65552846 0.65468074 0.72129495],0.6630810542939509,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'SmallKurtosis_r', 'Pvar_r', 'SF_ML_gamma_r', 'IAR_phi_r', 'LinearTrend_r')",0.04197411586877337,0.03265728814457826,0.01632864407228913
11,"(2, 4, 6, 9, 14, 16, 17, 19, 26, 31, 33)",[0.65624315 0.68935861 0.6556729  0.66299946 0.64917765],0.6626903534869414,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Q31_r', 'Pvar_r', 'SF_ML_gamma_r')",0.018037130467527134,0.014033500284340809,0.007016750142170404
12,"(2, 4, 6, 9, 11, 14, 16, 17, 19, 26, 31, 33)",[0.66068724 0.68968438 0.62913459 0.66270041 0.66661205],0.6617637339560775,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Q31_r', 'Pvar_r', 'SF_ML_gamma_r')",0.024854789705798866,0.019337870790008174,0.009668935395004087
19,"(0, 2, 4, 5, 6, 9, 11, 12, 13, 14, 16, 17, 19, 20, 26, 27, 31, 33, 34)",[0.60635834 0.64903148 0.66573489 0.6586368  0.72853433],0.6616591666522595,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Q31_r', 'Rcs_r', 'Pvar_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.05048976759673374,0.03928275449360906,0.019641377246804526
18,"(0, 2, 4, 5, 6, 9, 11, 12, 13, 14, 16, 17, 19, 20, 26, 27, 31, 33)",[0.62046764 0.6645935  0.67365854 0.65836155 0.68562672],0.6605415898141629,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Q31_r', 'Rcs_r', 'Pvar_r', 'SF_ML_gamma_r')",0.028325492780430193,0.022038195693261965,0.011019097846630983
24,"(0, 2, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 26, 27, 31, 33, 34, 35)",[0.62488038 0.6501609  0.64709463 0.6586368  0.7215195 ],0.6604584423342017,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Pvar_r', 'SF_ML_gamma_r', 'IAR_phi_r', 'LinearTrend_r')",0.04177571177469567,0.03250292301894664,0.01625146150947332
14,"(2, 4, 6, 9, 11, 12, 13, 14, 16, 17, 19, 26, 31, 33)",[0.65178571 0.6722239  0.63921031 0.6722239  0.65973593],0.6590359492990684,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Q31_r', 'Pvar_r', 'SF_ML_gamma_r')",0.016196258112594425,0.012601239051718862,0.006300619525859431
26,"(0, 2, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 26, 27, 28, 29, 31, 33, 34, 35)",[0.62488038 0.64965356 0.65412245 0.63915858 0.725375  ],0.6586379942799988,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'Pvar_r', 'SF_ML_gamma_r', 'IAR_phi_r', 'LinearTrend_r')",0.04479736721759922,0.034853873609092284,0.017426936804546142
10,"(2, 4, 6, 9, 14, 17, 19, 26, 31, 33)",[0.65175795 0.67634253 0.6556729  0.64987923 0.6566061 ],0.6580517415463752,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_5_r', 'Amplitude_r', 'Autocor_length_r', 'Q31_r', 'Pvar_r', 'SF_ML_gamma_r')",0.012175759651919403,0.009473154659766796,0.004736577329883398
13,"(2, 4, 6, 9, 11, 13, 14, 16, 17, 19, 26, 31, 33)",[0.66068724 0.67660329 0.63418635 0.66270041 0.65552846],0.6579411486944042,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Q31_r', 'Pvar_r', 'SF_ML_gamma_r')",0.017703252750197566,0.013773732077334991,0.006886866038667496
