Feature Name,Relative Importance
SmallKurtosis_r,0.03414634146341461
Skew_r,0.011924119241192388
GP_DRW_tau_r,0.0054200542005419464
SF_ML_gamma_r,0.0032520325203251434
IAR_phi_r,0.0010840108401083625
Psi_CS_r,0.0005420054200541812
MedianBRP_r,0.0
Eta_e_r,0.0
Harmonics_mag_2_r,0.0
Harmonics_phase_7_r,0.0
AndersonDarling_r,0.0
Autocor_length_r,0.0
Beyond1Std_r,0.0
Harmonics_phase_2_r,0.0
Mean_r,0.0
Harmonics_phase_3_r,0.0
Q31_r,0.0
StetsonK_r,0.0
Pvar_r,0.0
Period_band_r,0.0
Gskew_r,-4.4408920985006264e-17
Amplitude_r,-0.00027100271002710173
MHPS_ratio_r,-0.00027100271002710173
PercentAmplitude_r,-0.0005420054200542035
Harmonics_phase_4_r,-0.0008130081300813053
ExcessVar_r,-0.001084010840108407
Harmonics_phase_6_r,-0.0013550135501355087
Harmonics_phase_5_r,-0.0016260162601626105
Harmonics_mag_1_r,-0.0016260162601626105
GP_DRW_sigma_r,-0.0016260162601626105
Rcs_r,-0.0018970189701897123
Psi_eta_r,-0.0018970189701897234
MHPS_low_r,-0.002439024390243916
Harmonics_mag_6_r,-0.004065040650406549
Harmonics_mag_7_r,-0.00785907859078594
LinearTrend_r,-0.010298102981029867
