num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
12,"(1, 2, 3, 6, 7, 13, 16, 17, 19, 26, 27, 31)",[0.65569418 0.730893   0.6940138  0.6770716  0.69368132],0.6902707809559738,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_4_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.03172126286679322,0.02468022018592313,0.012340110092961563
13,"(1, 2, 3, 4, 6, 7, 13, 16, 17, 19, 26, 27, 31)",[0.6515357  0.730893   0.6940138  0.6770716  0.69368132],0.6894390847527527,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_4_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.03325389644467814,0.025872661178117547,0.012936330589058773
11,"(1, 2, 3, 6, 7, 16, 17, 19, 26, 27, 31)",[0.66060606 0.72625923 0.69323478 0.6813837  0.68426375],0.689149504610001,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.02752280488210391,0.021413677238418014,0.010706838619209007
10,"(1, 2, 3, 6, 7, 17, 19, 26, 27, 31)",[0.66485128 0.73540473 0.67907072 0.69055807 0.67365854],0.6887086666797281,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Amplitude_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.03186128919716443,0.0247891654281066,0.012394582714053299
7,"(1, 3, 6, 19, 26, 27, 31)",[0.62886516 0.7264574  0.7099187  0.68609234 0.68329005],0.6869247294304388,"('MHPS_low_r', 'GP_DRW_sigma_r', 'Psi_eta_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.04253661476504946,0.03309493139581733,0.016547465697908666
8,"(1, 2, 3, 6, 19, 26, 27, 31)",[0.62886516 0.7219675  0.7099187  0.68609234 0.68380327],0.6861293948651035,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'Psi_eta_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.04118913734981201,0.03204654818852604,0.01602327409426302
4,"(6, 19, 26, 27)",[0.62046764 0.70842637 0.73489291 0.67240859 0.69368132],0.6859753636422539,"('Psi_eta_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r')",0.04955183958146354,0.03855301463323147,0.019276507316615735
5,"(6, 19, 26, 27, 31)",[0.62046764 0.71295253 0.73028544 0.67240859 0.69368132],0.6859591035058028,"('Psi_eta_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.048860838670658505,0.038015392449053095,0.019007696224526548
6,"(1, 6, 19, 26, 27, 31)",[0.62886516 0.73986323 0.69659864 0.67602906 0.68754188],0.6857795935769404,"('MHPS_low_r', 'Psi_eta_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.04591034605667857,0.03571980895744521,0.017859904478722606
9,"(1, 2, 3, 6, 17, 19, 26, 27, 31)",[0.64527833 0.69945487 0.70615662 0.6770716  0.69836271],0.6852648261007126,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'Psi_eta_r', 'Amplitude_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.028598389497250427,0.02225051861014651,0.011125259305073255
14,"(1, 2, 3, 4, 6, 7, 13, 16, 17, 18, 19, 26, 27, 31)",[0.64285714 0.73093629 0.69323478 0.69456977 0.66393776],0.6851071506100297,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_4_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'Pvar_r')",0.038512068734618314,0.029963697857085754,0.014981848928542875
15,"(1, 2, 3, 4, 6, 7, 13, 16, 17, 18, 19, 26, 27, 29, 31)",[0.64274322 0.73540473 0.68824013 0.66622168 0.66393776],0.6793095053709223,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_4_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'SmallKurtosis_r', 'Pvar_r')",0.04052685306812634,0.031531268517400804,0.015765634258700402
3,"(6, 26, 27)",[0.61153746 0.6899595  0.74887387 0.66367713 0.68097282],0.6790041573168243,"('Psi_eta_r', 'Q31_r', 'Rcs_r')",0.05688002585771251,0.044254592518726564,0.02212729625936328
16,"(1, 2, 3, 4, 6, 7, 13, 14, 16, 17, 18, 19, 26, 27, 29, 31)",[0.6338118  0.70852018 0.69565757 0.6529218  0.66661205],0.6715046799764429,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'SmallKurtosis_r', 'Pvar_r')",0.03516873320662263,0.02736246923220867,0.013681234616104333
17,"(1, 2, 3, 4, 6, 7, 13, 14, 15, 16, 17, 18, 19, 26, 27, 29, 31)",[0.63838565 0.71728412 0.67492044 0.67524272 0.65066222],0.6712990301095582,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'SmallKurtosis_r', 'Pvar_r')",0.03473837149460011,0.02702763319945332,0.013513816599726659
18,"(1, 2, 3, 4, 6, 7, 12, 13, 14, 15, 16, 17, 18, 19, 26, 27, 29, 31)",[0.63389939 0.72169887 0.67365854 0.6666532  0.65412245],0.6700064888407995,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'SmallKurtosis_r', 'Pvar_r')",0.037484293393136914,0.02916405372450688,0.01458202686225344
19,"(1, 2, 3, 4, 6, 7, 9, 12, 13, 14, 15, 16, 17, 18, 19, 26, 27, 29, 31)",[0.66463719 0.70767369 0.66388619 0.654855   0.6413904 ],0.6664884953399423,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Q31_r', 'Rcs_r', 'SmallKurtosis_r', 'Pvar_r')",0.02857668685408212,0.02223363321645145,0.011116816608225725
20,"(1, 2, 3, 4, 6, 7, 9, 12, 13, 14, 15, 16, 17, 18, 19, 23, 26, 27, 29, 31)",[0.6473144  0.69945487 0.67302053 0.66519234 0.64502041],0.6660005090978454,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'SmallKurtosis_r', 'Pvar_r')",0.025437485121049448,0.01979122761915153,0.009895613809575765
21,"(1, 2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 23, 26, 27, 29, 31)",[0.65178571 0.69501207 0.65552846 0.66942837 0.65066222],0.6644833646966859,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'SmallKurtosis_r', 'Pvar_r')",0.021421597799955356,0.016666730850448994,0.008333365425224497
22,"(1, 2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 23, 26, 27, 29, 31, 33)",[0.65607864 0.69055807 0.65747814 0.66322449 0.65247703],0.6639632747579339,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'SmallKurtosis_r', 'Pvar_r', 'SF_ML_gamma_r')",0.017660356071617492,0.013740357004058535,0.0068701785020292665
25,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 23, 26, 27, 28, 29, 31, 33)",[0.62307692 0.67524272 0.66245295 0.68329005 0.66576327],0.6619651828376696,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_6_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'Pvar_r', 'SF_ML_gamma_r')",0.02670191835368963,0.020774999631098322,0.010387499815549161
