,BYDra_conf,RSCVN_conf
0,0.9674956059353023,2.014977471896399
1,1.4606203177625627,
2,,
3,,
4,,
5,,
6,,
7,0.5320799790814709,0.6078592901597121
8,,
9,,
10,1.1832873679383773,
11,1.0855271138641978,
12,,
13,,
14,1.6149866294411948,
15,1.762006116485209,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,0.7077753999617687,0.9169605929136702
26,,
27,,
28,,
29,,
30,0.9134112846573162,
31,0.7362974181821853,1.0215725274883993
32,,
33,,
34,,
35,,
36,,
37,,
38,2.3259065514944406,
39,,
40,,
41,,
42,,
43,,
44,,
45,1.085058530950536,
46,,
47,0.740068957704042,1.041854077525241
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,0.6804745565113568,0.8654347620361718
58,,
59,,
60,,
61,,
62,,
63,0.654170088659042,0.8073009351436415
64,,
65,,
66,,
67,,
68,,
69,5.057495118899342,
70,,
71,1.8659980886269754,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,1.2259777537348726,
82,,
83,,
84,,
85,,
86,,
87,0.5516564365846751,0.6360277713131688
88,,
89,,
90,,
91,2.6390811368095535,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,1.452435649787183,
100,,
101,1.1580052495382525,
102,,
103,,
104,,
105,,
106,2.7389808412464416,
107,,
108,1.4259103639453696,
109,,
110,,
111,0.8608113851523068,1.3571255515175535
112,,
113,,
114,,
115,,
116,0.6686185160525667,0.8401279616320636
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,0.779347836602582,1.1034714800653247
126,,
127,0.8691538844692825,1.3930496487792527
128,0.8560629809123426,1.490345419006166
129,1.0079321740777838,
130,,
131,0.8801753843484698,1.4697225376348497
132,0.9012389917370404,1.5471921122373078
133,,
134,,
135,0.6548266757306693,0.8141703205480361
136,,
137,,
138,,
139,,
140,0.6702943877628573,0.8382166374961926
141,2.6205061011911632,
142,,
143,0.7694625742451562,1.1581347924112748
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,0.6868518271162626,0.8716160444080837
154,,
155,0.8554837703194679,
156,,
157,,
158,,
159,,
160,0.7085894066483794,
161,1.0019663300573263,
162,,
163,,
164,,
165,,
166,0.7377069873244477,0.9871322431380141
167,,
168,1.596806400496498,
169,0.8605112141480005,1.51904072904353
170,,
171,,
172,,
173,,
174,,
175,,
176,1.5848963684632413,
177,,
178,0.7555517501209391,1.091836233495029
179,0.6589642518815255,0.8253343643663055
180,,
181,,
182,1.1120005882788615,
183,,
184,,
185,1.8715247881912018,
186,,
187,0.7451772764204334,
188,0.6213066508746343,0.7478161281553423
189,1.3736457320126032,
190,,
191,,
192,,
193,,
194,,
195,1.1640687885752317,
196,1.9745584428207459,
197,,
198,0.8805007654312601,1.5471967577427574
199,,
200,,
201,,
202,0.7329628596881265,1.026074134202604
203,,
204,,
205,1.8640398359676695,
206,,
207,,
208,0.814823800308015,
209,,
210,,
211,,
212,,
213,,
214,2.2386451048358498,
215,,
216,1.3680169671683464,
217,,
218,,
219,,
220,1.0200630797542642,
221,,
222,,
223,,
224,,
225,,
226,1.5393521088315039,
227,,
228,0.9436050209908794,
229,1.015107312649596,
230,2.604963830563357,
231,2.195080505141556,
232,,
233,,
234,,
235,,
236,0.9163959824496379,1.9539826783570116
237,1.0179610406252737,
238,,
239,,
240,,
241,,
242,,
243,,
244,0.8373861560573801,1.3657706567277845
245,,
246,0.6248202883766203,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,0.5192100149528804,0.5867810512042443
257,0.5754374235051558,0.6726205161120881
258,,
259,,
260,0.9711378548533494,
261,,
262,,
263,,
264,3.50250110927602,
265,1.0120235308609178,
266,,
267,,
268,,
269,0.8569961477061626,1.560672973653854
270,,
271,,
272,,
273,,
274,1.0169159213078955,
275,,
276,0.8685898543679857,1.4444235664357934
277,,
278,,
279,,
280,,
281,0.5507766882046577,0.6332050128639886
282,,
283,,
284,0.8791633723296487,1.548907811717137
285,1.2809012290989383,
286,,
287,,
288,0.7825066427853642,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,1.145389917902131,
297,,
298,,
299,1.0770194123231296,
300,,
301,0.6378570060071841,0.7785725252366027
302,,
303,,
304,,
305,1.8706021573698555,
306,,
307,1.5750747795803102,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,0.820645670866328,1.4714047775463122
319,,
320,,
321,,
322,0.9165968888424084,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,0.6727032340466238,0.8575197671640868
335,,
336,,
337,,
338,,
339,,
340,,
341,0.6602198495259689,0.8187863745160046
342,1.262929931447904,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,1.5107966308823062,
352,0.9046642069386425,
353,0.6526349208817186,0.808214038353453
354,,
355,,
356,,
357,,
358,,
359,,
360,1.0186020955772033,3.625599492863501
361,,
362,,
363,0.623837385804171,0.7544467862396117
364,0.6387248211252335,0.792705484077734
365,,
366,,
367,1.519567779546115,
368,1.1472275175786897,
