num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
12,"(2, 4, 5, 6, 13, 17, 19, 23, 26, 27, 30, 31)",[0.65175795 0.71739786 0.7135955  0.6722239  0.70793286],0.6925816154185419,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Amplitude_r', 'Autocor_length_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.03338837628046834,0.025977291059084348,0.012988645529542172
13,"(2, 4, 5, 6, 13, 17, 19, 20, 23, 26, 27, 30, 31)",[0.6473144  0.71286013 0.7135955  0.65885668 0.71230447],0.6889862360240306,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.0379700718218972,0.029542005845572216,0.014771002922786108
14,"(2, 4, 5, 6, 13, 17, 19, 20, 23, 24, 26, 27, 30, 31)",[0.6515357  0.70830902 0.70385126 0.65401277 0.71230447],0.6860026441674175,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.035054552855854064,0.02727363304022893,0.013636816520114465
15,"(2, 4, 5, 6, 13, 15, 17, 19, 20, 23, 24, 26, 27, 30, 31)",[0.64274322 0.7215195  0.67996685 0.65885668 0.69836271],0.6802897920032471,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.03587664052777904,0.027913245178006734,0.013956622589003367
7,"(2, 4, 6, 17, 23, 27, 31)",[0.63205128 0.68578905 0.72070944 0.64863445 0.7099187 ],0.6794205845120947,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Amplitude_r', 'Mean_r', 'Rcs_r', 'Pvar_r')",0.04402791535190007,0.034255213916769514,0.017127606958384754
18,"(2, 3, 4, 5, 6, 7, 12, 13, 15, 17, 19, 20, 23, 24, 26, 27, 30, 31)",[0.63346105 0.72625923 0.67574597 0.66815476 0.68754188],0.6782325787796523,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.038582104923854936,0.03001818839167138,0.01500909419583569
4,"(4, 6, 17, 27)",[0.63287496 0.70331398 0.71170006 0.64286728 0.69894453],0.6779401622858823,"('GP_DRW_tau_r', 'Psi_eta_r', 'Amplitude_r', 'Rcs_r')",0.04257291995210124,0.033123178064750146,0.016561589032375073
5,"(4, 6, 17, 27, 31)",[0.63287496 0.70331398 0.71170006 0.64286728 0.69894453],0.6779401622858823,"('GP_DRW_tau_r', 'Psi_eta_r', 'Amplitude_r', 'Rcs_r', 'Pvar_r')",0.04257291995210124,0.033123178064750146,0.016561589032375073
6,"(4, 6, 17, 23, 27, 31)",[0.61833744 0.6903588  0.71666835 0.65334222 0.70935158],0.6776116779146129,"('GP_DRW_tau_r', 'Psi_eta_r', 'Amplitude_r', 'Mean_r', 'Rcs_r', 'Pvar_r')",0.04739143442560032,0.036872146025906126,0.018436073012953063
16,"(2, 3, 4, 5, 6, 13, 15, 17, 19, 20, 23, 24, 26, 27, 30, 31)",[0.64725816 0.70374396 0.67476908 0.65885668 0.70302663],0.6775309034888496,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.02936517081813931,0.022847100527879714,0.011423550263939857
3,"(6, 17, 27)",[0.61778581 0.70331398 0.7163709  0.63863231 0.70385126],0.6759908534797033,"('Psi_eta_r', 'Amplitude_r', 'Rcs_r')",0.05120813274734448,0.03984166698600943,0.019920833493004716
8,"(2, 4, 6, 17, 23, 27, 30, 31)",[0.62856857 0.68558653 0.7203479  0.64817961 0.69541109],0.6756187395584304,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Amplitude_r', 'Mean_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.04246681736942121,0.03304062665077162,0.01652031332538581
17,"(2, 3, 4, 5, 6, 7, 13, 15, 17, 19, 20, 23, 24, 26, 27, 30, 31)",[0.61992215 0.72183325 0.66990132 0.66365008 0.69368132],0.6737976221322881,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Amplitude_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Q31_r', 'Rcs_r', 'StetsonK_r', 'Pvar_r')",0.043485796169438956,0.033833426775244355,0.016916713387622174
