num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(2, 4, 6, 12, 14, 18, 23, 26, 27, 33)",[0.62016478 0.71563607 0.71574836 0.68898187 0.68754188],0.6856145914529647,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'AndersonDarling_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'SF_ML_gamma_r')",0.044922943805863376,0.034951576461011234,0.017475788230505617
11,"(2, 4, 6, 12, 14, 18, 19, 23, 26, 27, 33)",[0.632493   0.71090585 0.69883023 0.69233891 0.68562672],0.6840389408271312,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'SF_ML_gamma_r')",0.03481695213877111,0.027088771610261114,0.013544385805130555
4,"(6, 12, 26, 27)",[0.58776063 0.73118807 0.72897423 0.68142857 0.68643507],0.6831573153785632,"('Psi_eta_r', 'Harmonics_phase_3_r', 'Q31_r', 'Rcs_r')",0.06683612285809222,0.05200077422635983,0.026000387113179913
5,"(2, 6, 12, 26, 27)",[0.59183673 0.73118807 0.72423929 0.68142857 0.68643507],0.6830255471914896,"('Period_band_r', 'Psi_eta_r', 'Harmonics_phase_3_r', 'Q31_r', 'Rcs_r')",0.06387204262570292,0.0496946191060134,0.0248473095530067
12,"(2, 3, 4, 6, 12, 14, 18, 19, 23, 26, 27, 33)",[0.64145658 0.70187166 0.69260652 0.68968438 0.68562672],0.6822491721816979,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'SF_ML_gamma_r')",0.02710130950858402,0.02108573951823637,0.010542869759118185
6,"(2, 4, 6, 12, 26, 27)",[0.59087588 0.73118807 0.71948547 0.68142857 0.68643507],0.6818826131789283,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_phase_3_r', 'Q31_r', 'Rcs_r')",0.06335365423012844,0.04929129532289886,0.02464564766144943
9,"(2, 4, 6, 12, 18, 23, 26, 27, 33)",[0.61594896 0.71230447 0.69894453 0.6943235  0.68329005],0.6809623006259484,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_phase_3_r', 'AndersonDarling_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'SF_ML_gamma_r')",0.04345867127601563,0.03381232268663922,0.016906161343319608
13,"(2, 3, 4, 6, 12, 14, 17, 18, 19, 23, 26, 27, 33)",[0.63832798 0.70450329 0.67277377 0.68467195 0.70026882],0.68010916227721,"('Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'SF_ML_gamma_r')",0.030533594784889685,0.02375617406921392,0.01187808703460696
7,"(2, 4, 6, 12, 23, 26, 27)",[0.60989202 0.72141555 0.71076524 0.68069874 0.6701741 ],0.6785891319936099,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_phase_3_r', 'Mean_r', 'Q31_r', 'Rcs_r')",0.05032028035519816,0.039150887661655726,0.019575443830827863
3,"(6, 26, 27)",[0.59560298 0.72897423 0.70935158 0.65614348 0.69053061],0.6761205789843878,"('Psi_eta_r', 'Q31_r', 'Rcs_r')",0.06025156687908581,0.046877765975684736,0.023438882987842368
