,BYDra_conf,RSCVN_conf
0,0.0,0.0
1,0.0,-0.5
2,0.0,0.0
3,0.0,0.0
4,0.0,-0.5
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,-0.5
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,-0.5,-0.5
21,0.0,-0.5
22,0.0,-0.5
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,-0.5,-0.5
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,-0.5,-0.5
33,0.0,-0.5
34,0.0,0.0
35,0.0,-0.5
36,0.0,-0.5
37,0.0,0.0
38,0.0,0.0
39,-0.5,-0.5
40,0.0,0.0
41,0.0,0.0
42,0.0,-0.5
43,0.0,0.0
44,0.0,-0.5
45,0.0,0.0
46,-0.5,-0.5
47,0.0,0.0
48,0.0,0.0
49,0.0,-0.5
50,0.0,0.0
51,0.0,0.0
52,-0.5,-0.5
53,0.0,-0.5
54,0.0,-0.5
55,0.0,0.0
56,0.0,-0.5
57,0.0,0.0
58,-0.5,-0.5
59,0.0,0.0
60,0.0,0.0
61,-0.5,-0.5
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,-0.5
66,0.0,0.0
67,0.0,-0.5
68,-0.5,-0.5
69,0.0,-0.5
70,-0.5,-0.5
71,0.0,-0.5
72,0.0,0.0
73,0.0,-0.5
74,0.0,0.0
75,0.0,-0.5
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,-0.5
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,-0.5
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,-0.5,-0.5
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,-0.5,-0.5
95,0.0,0.0
96,0.0,0.0
97,0.0,-0.5
98,0.0,0.0
99,0.0,-0.5
100,0.0,-0.5
101,0.0,0.0
102,0.0,-0.5
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,-0.5
107,0.0,-0.5
108,0.0,-0.5
109,0.0,0.0
110,0.0,-0.5
111,0.0,0.0
112,0.0,-0.5
113,-0.5,-0.5
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,-0.5
122,0.0,-0.5
123,-0.5,-0.5
124,0.0,0.0
125,0.0,0.0
126,-0.5,-0.5
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,-0.5
135,0.0,0.0
136,0.0,-0.5
137,0.0,-0.5
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,-0.5
142,0.0,0.0
143,0.0,0.0
144,0.0,-0.5
145,0.0,-0.5
146,0.0,0.0
147,0.0,0.0
148,0.0,-0.5
149,-0.5,-0.5
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,-0.5
160,0.0,0.0
161,0.0,0.0
162,0.0,-0.5
163,-0.5,-0.5
164,0.0,0.0
165,-0.5,-0.5
166,0.0,0.0
167,-0.5,-0.5
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,-0.5
174,-0.5,-0.5
175,0.0,-0.5
176,0.0,-0.5
177,-0.5,-0.5
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,-0.5
184,0.0,0.0
185,0.0,0.0
186,0.0,-0.5
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,-0.5
191,0.0,0.0
192,0.0,-0.5
193,0.0,-0.5
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
200,0.0,0.0
201,-0.5,-0.5
202,0.0,0.0
203,0.0,0.0
204,-0.5,-0.5
205,0.0,0.0
206,0.0,0.0
207,0.0,-0.5
208,0.0,0.0
209,0.0,-0.5
210,-0.5,-0.5
211,0.0,0.0
212,0.0,0.0
213,0.0,-0.5
214,0.0,-0.5
215,0.0,-0.5
216,0.0,0.0
217,0.0,-0.5
218,0.0,-0.5
219,-0.5,-0.5
220,0.0,0.0
221,-0.5,-0.5
222,0.0,0.0
223,0.0,0.0
224,-0.5,-0.5
225,-0.5,-0.5
226,0.0,0.0
227,-0.5,-0.5
228,0.0,0.0
229,0.0,0.0
230,0.0,-0.5
231,0.0,-0.5
232,0.0,0.0
233,0.0,0.0
234,0.0,-0.5
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,-0.5
239,0.0,0.0
240,0.0,-0.5
241,-0.5,-0.5
242,0.0,-0.5
243,0.0,0.0
244,0.0,0.0
245,0.0,0.0
246,0.0,0.0
247,0.0,-0.5
248,0.0,-0.5
249,-0.5,-0.5
250,-0.5,-0.5
251,0.0,-0.5
252,0.0,-0.5
253,0.0,0.0
254,0.0,0.0
255,0.0,-0.5
256,0.0,0.0
257,0.0,0.0
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,-0.5,-0.5
262,0.0,0.0
263,0.0,0.0
264,0.0,0.0
265,0.0,0.0
266,0.0,-0.5
267,-0.5,-0.5
268,0.0,0.0
269,0.0,0.0
270,0.0,-0.5
271,-0.5,-0.5
272,0.0,-0.5
273,0.0,0.0
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,-0.5,-0.5
278,-0.5,-0.5
279,-0.5,-0.5
280,0.0,0.0
281,0.0,0.0
282,0.0,0.0
283,-0.5,-0.5
284,0.0,0.0
285,0.0,0.0
286,0.0,-0.5
287,0.0,-0.5
288,0.0,0.0
289,-0.5,-0.5
290,0.0,0.0
291,0.0,0.0
292,-0.5,-0.5
293,0.0,-0.5
294,0.0,-0.5
295,0.0,0.0
296,0.0,0.0
297,0.0,-0.5
298,0.0,0.0
299,0.0,0.0
300,-0.5,-0.5
301,0.0,0.0
302,0.0,0.0
303,-0.5,-0.5
304,0.0,0.0
305,0.0,0.0
306,-0.5,-0.5
307,0.0,0.0
308,-0.5,-0.5
309,-0.5,-0.5
310,0.0,-0.5
311,0.0,-0.5
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,-0.5,-0.5
317,0.0,-0.5
318,0.0,0.0
319,0.0,0.0
320,0.0,0.0
321,0.0,0.0
322,0.0,0.0
323,0.0,0.0
324,0.0,-0.5
325,0.0,0.0
326,-0.5,-0.5
327,0.0,0.0
328,0.0,0.0
329,-0.5,-0.5
330,0.0,0.0
331,-0.5,-0.5
332,0.0,0.0
333,0.0,0.0
334,0.0,0.0
335,0.0,-0.5
336,0.0,0.0
337,0.0,-0.5
338,0.0,-0.5
339,0.0,-0.5
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,0.0,0.0
346,0.0,0.0
347,0.0,-0.5
348,0.0,-0.5
349,0.0,0.0
350,0.0,0.0
351,0.0,-0.5
352,0.0,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.0,-0.5
358,-0.5,-0.5
359,0.0,0.0
360,0.0,0.0
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.0,-0.5
367,0.0,0.0
368,0.0,0.0
