Feature Name,Relative Importance
AndersonDarling_r,0.023035230352303537
GP_DRW_tau_r,0.016260162601626015
Autocor_length_r,0.01517615176151763
ExcessVar_r,0.011382113821138217
Psi_eta_r,0.006504065040650431
Harmonics_mag_1_r,0.0065040650406504195
GP_DRW_sigma_r,0.005691056910569125
Beyond1Std_r,0.005420054200542012
MHPS_ratio_r,0.004065040650406515
MHPS_low_r,0.004065040650406515
IAR_phi_r,0.0027100271002710175
StetsonK_r,0.002710027100271006
Gskew_r,0.002439024390243916
Q31_r,0.002168021680216836
Pvar_r,0.002168021680216814
Psi_CS_r,0.0018970189701897344
Harmonics_phase_5_r,0.0018970189701897123
LinearTrend_r,0.001897018970189701
Harmonics_phase_3_r,0.0013550135501355087
Harmonics_phase_2_r,0.0005420054200542035
Eta_e_r,0.0
Harmonics_phase_6_r,0.0
Harmonics_phase_4_r,0.0
Harmonics_mag_7_r,-0.0002710027100270906
Rcs_r,-0.0002710027100270906
Amplitude_r,-0.0010840108401083959
PercentAmplitude_r,-0.0013550135501354866
Harmonics_mag_2_r,-0.0013550135501354977
Mean_r,-0.0016260162601625882
MedianBRP_r,-0.0016260162601626105
SmallKurtosis_r,-0.0021680216802167805
SF_ML_gamma_r,-0.0021680216802167918
Harmonics_mag_6_r,-0.0024390243902438825
Harmonics_phase_7_r,-0.0032520325203252098
Skew_r,-0.0035230352303522784
Period_band_r,-0.006775067750677477
