num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
9,"(0, 4, 6, 21, 26, 27, 28, 31, 33)",[0.62307692 0.7343791  0.68578905 0.6666532  0.71602692],0.6851850394631869,"('MHPS_ratio_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Eta_e_r', 'Q31_r', 'Rcs_r', 'Skew_r', 'Pvar_r', 'SF_ML_gamma_r')",0.05001908898900486,0.0389165505462967,0.01945827527314835
10,"(0, 4, 6, 21, 26, 27, 28, 29, 31, 33)",[0.62307692 0.7343791  0.6813837  0.67049894 0.71132686],0.6841331035934266,"('MHPS_ratio_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Eta_e_r', 'Q31_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'Pvar_r', 'SF_ML_gamma_r')",0.04872411435718505,0.03790901628819645,0.018954508144098225
11,"(0, 2, 4, 6, 21, 26, 27, 28, 29, 31, 33)",[0.62307692 0.73902341 0.67240859 0.67049894 0.70701191],0.6824039521245263,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Eta_e_r', 'Q31_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'Pvar_r', 'SF_ML_gamma_r')",0.05001960893471002,0.03891695508171958,0.01945847754085979
12,"(0, 2, 3, 4, 6, 21, 26, 27, 28, 29, 31, 33)",[0.62779524 0.73902341 0.6722239  0.65426357 0.7163709 ],0.681935403115022,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Eta_e_r', 'Q31_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'Pvar_r', 'SF_ML_gamma_r')",0.052164589286904664,0.040585822667759494,0.020292911333879747
8,"(0, 4, 6, 21, 26, 27, 31, 33)",[0.61122748 0.71202583 0.69058296 0.69476651 0.6991644 ],0.6815534352485196,"('MHPS_ratio_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Eta_e_r', 'Q31_r', 'Rcs_r', 'Pvar_r', 'SF_ML_gamma_r')",0.04612948327159881,0.03589030515546459,0.017945152577732295
7,"(0, 6, 21, 26, 27, 31, 33)",[0.60701754 0.69456977 0.69945487 0.69491389 0.6899595 ],0.6771831151448955,"('MHPS_ratio_r', 'Psi_eta_r', 'Eta_e_r', 'Q31_r', 'Rcs_r', 'Pvar_r', 'SF_ML_gamma_r')",0.045256663558099416,0.035211221765807696,0.017605610882903848
14,"(0, 2, 3, 4, 6, 21, 23, 26, 27, 28, 29, 31, 32, 33)",[0.62016478 0.71666835 0.68604183 0.66799453 0.68502825],0.6751795478400908,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Eta_e_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'Pvar_r', 'ExcessVar_r', 'SF_ML_gamma_r')",0.04070358540417836,0.031668772279027604,0.0158343861395138
13,"(0, 2, 3, 4, 6, 21, 23, 26, 27, 28, 29, 31, 33)",[0.61496642 0.71691954 0.68609234 0.66356889 0.6943235 ],0.6751741376908427,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Eta_e_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'Pvar_r', 'SF_ML_gamma_r')",0.044480110034653214,0.03460703674249106,0.017303518371245528
15,"(0, 1, 2, 3, 4, 6, 21, 23, 26, 27, 28, 29, 31, 32, 33)",[0.60560224 0.70793286 0.67634253 0.6722239  0.67952636],0.6683255783979093,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Eta_e_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'Pvar_r', 'ExcessVar_r', 'SF_ML_gamma_r')",0.04342640221066144,0.03378721625750745,0.016893608128753724
16,"(0, 1, 2, 3, 4, 6, 19, 21, 23, 26, 27, 28, 29, 31, 32, 33)",[0.5721323  0.69283747 0.67722667 0.69328479 0.67309479],0.6617152040674329,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_sigma_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Autocor_length_r', 'Eta_e_r', 'Mean_r', 'Q31_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'Pvar_r', 'ExcessVar_r', 'SF_ML_gamma_r')",0.058506665799438896,0.04552017365569478,0.022760086827847394
