,BYDra_conf,RSCVN_conf
0,0.5,0.5
1,0.5,inf
2,1.0,1.0
3,1.0,1.0
4,1.0,inf
5,1.0,1.0
6,1.0,1.0
7,0.5,0.5
8,1.0,inf
9,1.0,1.0
10,0.5,1.0
11,0.5,1.0
12,1.0,1.0
13,1.0,1.0
14,0.5,1.0
15,0.5,1.0
16,1.0,1.0
17,1.0,1.0
18,1.0,1.0
19,1.0,1.0
20,inf,inf
21,1.0,inf
22,1.0,inf
23,1.0,1.0
24,1.0,1.0
25,0.5,0.5
26,1.0,1.0
27,1.0,1.0
28,inf,inf
29,1.0,1.0
30,0.5,1.0
31,0.5,0.5
32,inf,inf
33,1.0,inf
34,1.0,1.0
35,1.0,inf
36,1.0,inf
37,1.0,1.0
38,0.5,1.0
39,inf,inf
40,1.0,1.0
41,1.0,1.0
42,1.0,inf
43,1.0,1.0
44,1.0,inf
45,0.5,1.0
46,inf,inf
47,0.5,0.5
48,1.0,1.0
49,1.0,inf
50,1.0,1.0
51,1.0,1.0
52,inf,inf
53,1.0,inf
54,1.0,inf
55,1.0,1.0
56,1.0,inf
57,0.5,0.5
58,inf,inf
59,1.0,1.0
60,1.0,1.0
61,inf,inf
62,1.0,1.0
63,0.5,0.5
64,1.0,1.0
65,1.0,inf
66,1.0,1.0
67,1.0,inf
68,inf,inf
69,0.5,inf
70,inf,inf
71,0.5,inf
72,1.0,1.0
73,1.0,inf
74,1.0,1.0
75,1.0,inf
76,1.0,1.0
77,1.0,1.0
78,1.0,1.0
79,1.0,inf
80,1.0,1.0
81,0.5,1.0
82,1.0,1.0
83,1.0,1.0
84,1.0,1.0
85,1.0,inf
86,1.0,1.0
87,0.5,0.5
88,1.0,1.0
89,inf,inf
90,1.0,1.0
91,0.5,1.0
92,1.0,1.0
93,1.0,1.0
94,inf,inf
95,1.0,1.0
96,1.0,1.0
97,1.0,inf
98,1.0,1.0
99,0.5,inf
100,1.0,inf
101,0.5,1.0
102,1.0,inf
103,1.0,1.0
104,1.0,1.0
105,1.0,1.0
106,0.5,inf
107,1.0,inf
108,0.5,inf
109,1.0,1.0
110,1.0,inf
111,0.5,0.5
112,1.0,inf
113,inf,inf
114,1.0,1.0
115,1.0,1.0
116,0.5,0.5
117,1.0,1.0
118,1.0,1.0
119,1.0,1.0
120,1.0,1.0
121,1.0,inf
122,1.0,inf
123,inf,inf
124,1.0,1.0
125,0.5,0.5
126,inf,inf
127,0.5,0.5
128,0.5,0.5
129,0.5,1.0
130,1.0,1.0
131,0.5,0.5
132,0.5,0.5
133,1.0,1.0
134,1.0,inf
135,0.5,0.5
136,1.0,inf
137,1.0,inf
138,1.0,1.0
139,1.0,1.0
140,0.5,0.5
141,0.5,inf
142,1.0,1.0
143,0.5,0.5
144,1.0,inf
145,1.0,inf
146,1.0,1.0
147,1.0,1.0
148,1.0,inf
149,inf,inf
150,1.0,1.0
151,1.0,1.0
152,1.0,1.0
153,0.5,0.5
154,1.0,1.0
155,0.5,1.0
156,1.0,1.0
157,1.0,1.0
158,1.0,1.0
159,1.0,inf
160,0.5,1.0
161,0.5,1.0
162,1.0,inf
163,inf,inf
164,1.0,1.0
165,inf,inf
166,0.5,0.5
167,inf,inf
168,0.5,1.0
169,0.5,0.5
170,1.0,1.0
171,1.0,1.0
172,1.0,1.0
173,1.0,inf
174,inf,inf
175,1.0,inf
176,0.5,inf
177,inf,inf
178,0.5,0.5
179,0.5,0.5
180,1.0,1.0
181,1.0,1.0
182,0.5,1.0
183,1.0,inf
184,1.0,1.0
185,0.5,1.0
186,1.0,inf
187,0.5,1.0
188,0.5,0.5
189,0.5,1.0
190,1.0,inf
191,1.0,1.0
192,1.0,inf
193,1.0,inf
194,1.0,1.0
195,0.5,1.0
196,0.5,1.0
197,1.0,1.0
198,0.5,0.5
199,1.0,1.0
200,1.0,1.0
201,inf,inf
202,0.5,0.5
203,1.0,1.0
204,inf,inf
205,0.5,1.0
206,1.0,1.0
207,1.0,inf
208,0.5,1.0
209,1.0,inf
210,inf,inf
211,1.0,1.0
212,1.0,1.0
213,1.0,inf
214,0.5,inf
215,1.0,inf
216,0.5,1.0
217,1.0,inf
218,1.0,inf
219,inf,inf
220,0.5,1.0
221,inf,inf
222,1.0,1.0
223,1.0,1.0
224,inf,inf
225,inf,inf
226,0.5,1.0
227,inf,inf
228,0.5,1.0
229,0.5,1.0
230,0.5,inf
231,0.5,inf
232,1.0,1.0
233,1.0,1.0
234,1.0,inf
235,1.0,1.0
236,0.5,0.5
237,0.5,1.0
238,1.0,inf
239,1.0,1.0
240,1.0,inf
241,inf,inf
242,1.0,inf
243,1.0,1.0
244,0.5,0.5
245,1.0,1.0
246,0.5,1.0
247,1.0,inf
248,1.0,inf
249,inf,inf
250,inf,inf
251,1.0,inf
252,1.0,inf
253,1.0,1.0
254,1.0,1.0
255,1.0,inf
256,0.5,0.5
257,0.5,0.5
258,1.0,1.0
259,1.0,1.0
260,0.5,1.0
261,inf,inf
262,1.0,1.0
263,1.0,1.0
264,0.5,1.0
265,0.5,1.0
266,1.0,inf
267,inf,inf
268,1.0,1.0
269,0.5,0.5
270,1.0,inf
271,inf,inf
272,1.0,inf
273,1.0,1.0
274,0.5,1.0
275,1.0,1.0
276,0.5,0.5
277,inf,inf
278,inf,inf
279,inf,inf
280,1.0,1.0
281,0.5,0.5
282,1.0,1.0
283,inf,inf
284,0.5,0.5
285,0.5,1.0
286,1.0,inf
287,1.0,inf
288,0.5,1.0
289,inf,inf
290,1.0,1.0
291,1.0,1.0
292,inf,inf
293,1.0,inf
294,1.0,inf
295,1.0,1.0
296,0.5,1.0
297,1.0,inf
298,1.0,1.0
299,0.5,1.0
300,inf,inf
301,0.5,0.5
302,1.0,1.0
303,inf,inf
304,1.0,1.0
305,0.5,1.0
306,inf,inf
307,0.5,1.0
308,inf,inf
309,inf,inf
310,1.0,inf
311,1.0,inf
312,1.0,1.0
313,1.0,1.0
314,1.0,1.0
315,1.0,1.0
316,inf,inf
317,1.0,inf
318,0.5,0.5
319,1.0,1.0
320,1.0,1.0
321,1.0,1.0
322,0.5,1.0
323,1.0,1.0
324,1.0,inf
325,1.0,1.0
326,inf,inf
327,1.0,1.0
328,1.0,1.0
329,inf,inf
330,1.0,1.0
331,inf,inf
332,1.0,1.0
333,1.0,1.0
334,0.5,0.5
335,1.0,inf
336,1.0,1.0
337,1.0,inf
338,1.0,inf
339,1.0,inf
340,1.0,1.0
341,0.5,0.5
342,0.5,1.0
343,1.0,1.0
344,1.0,1.0
345,1.0,1.0
346,1.0,1.0
347,1.0,inf
348,1.0,inf
349,1.0,1.0
350,1.0,1.0
351,0.5,inf
352,0.5,1.0
353,0.5,0.5
354,1.0,1.0
355,1.0,1.0
356,1.0,1.0
357,1.0,inf
358,inf,inf
359,1.0,1.0
360,0.5,0.5
361,1.0,1.0
362,1.0,1.0
363,0.5,0.5
364,0.5,0.5
365,1.0,1.0
366,1.0,inf
367,0.5,1.0
368,0.5,1.0
