,BYDra_conf,RSCVN_conf
0,,
1,,
2,0.0,0.0
3,,
4,0.0,0.0
5,0.0,0.0
6,,
7,0.0,0.0
8,,
9,,
10,0.0,0.0
11,,
12,,
13,,
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,,
18,,
19,,
20,,
21,0.0,0.0
22,,
23,,
24,,
25,,
26,,
27,0.0,0.0
28,,
29,,
30,,
31,0.0,0.0
32,,
33,,
34,,
35,,
36,0.0,0.0
37,0.0,0.0
38,,
39,,
40,,
41,,
42,0.0,0.0
43,0.0,0.0
44,,
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,,
51,,
52,,
53,,
54,0.0,0.0
55,,
56,0.0,0.0
57,,
58,0.0,0.0
59,,
60,0.0,0.0
61,,
62,0.0,0.0
63,,
64,0.0,0.0
65,,
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,,
70,,
71,,
72,0.0,0.0
73,,
74,,
75,,
76,,
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,,
81,0.0,0.0
82,,
83,0.0,0.0
84,,
85,0.0,0.0
86,,
87,,
88,0.0,0.0
89,0.0,0.0
90,,
91,,
92,,
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,,
97,,
98,0.0,0.0
99,,
100,,
101,0.0,0.0
102,,
103,,
104,0.0,0.0
105,,
106,,
107,,
108,,
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,,
116,,
117,,
118,0.0,0.0
119,,
120,0.0,0.0
121,0.0,0.0
122,,
123,,
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,,
128,,
129,0.0,0.0
130,,
131,,
132,,
133,0.0,0.0
134,,
135,,
136,,
137,,
138,,
139,0.0,0.0
140,,
141,,
142,,
143,0.0,0.0
144,,
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,,
150,,
151,0.0,0.0
152,,
153,,
154,,
155,,
156,0.0,0.0
157,,
158,0.0,0.0
159,0.0,0.0
160,,
161,0.0,0.0
162,0.0,0.0
163,,
164,,
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,,
170,,
171,,
172,0.0,0.0
173,,
174,,
175,,
176,,
177,0.0,0.0
178,0.0,0.0
179,,
180,,
181,0.0,0.0
182,0.0,0.0
183,,
184,0.0,0.0
185,,
186,,
187,,
188,,
189,,
190,,
191,0.0,0.0
192,,
193,,
194,,
195,,
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,,
200,,
201,0.0,0.0
202,0.0,0.0
203,,
204,0.0,0.0
205,,
206,0.0,0.0
207,,
208,,
209,0.0,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,,
214,0.0,0.0
215,,
216,,
217,,
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,,
222,,
223,0.0,0.0
224,0.0,0.0
225,,
226,,
227,,
228,0.0,0.0
229,,
230,0.0,0.0
231,,
232,0.0,0.0
233,,
234,,
235,,
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,,
240,,
241,,
242,,
243,0.0,0.0
244,,
245,0.0,0.0
246,0.0,0.0
247,,
248,,
249,0.0,0.0
250,,
251,,
252,,
253,0.0,0.0
254,,
255,0.0,0.0
256,0.0,0.0
257,,
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,,
262,,
263,,
264,,
265,0.0,0.0
266,,
267,,
268,0.0,0.0
269,,
270,,
271,,
272,0.0,0.0
273,,
274,,
275,0.0,0.0
276,,
277,,
278,0.0,0.0
279,,
280,,
281,0.0,0.0
282,,
283,,
284,,
285,,
286,,
287,0.0,0.0
288,,
289,,
290,0.0,0.0
291,,
292,0.0,0.0
293,,
294,,
295,0.0,0.0
296,,
297,,
298,0.0,0.0
299,,
300,,
301,,
302,0.0,0.0
303,0.0,0.0
304,0.0,0.0
305,,
306,0.0,0.0
307,0.0,0.0
308,0.0,0.0
309,,
310,,
311,,
312,,
313,,
314,,
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,,
333,,
334,,
335,,
336,0.0,0.0
337,,
338,0.0,0.0
339,0.0,0.0
340,,
341,,
342,0.0,0.0
343,,
344,,
345,,
346,,
347,,
348,0.0,0.0
349,0.0,0.0
350,,
351,0.0,0.0
352,,
353,,
354,,
355,,
356,,
357,0.0,0.0
358,,
359,,
360,,
361,,
362,0.0,0.0
363,0.0,0.0
364,,
365,0.0,0.0
366,,
367,,
368,,
