Feature Name,Relative Importance
AndersonDarling_r,0.03658536585365857
Autocor_length_r,0.03170731707317074
StetsonK_r,0.01842818428184283
GP_DRW_tau_r,0.01815718157181575
Psi_eta_r,0.017344173441734445
Harmonics_mag_6_r,0.01653116531165314
Psi_CS_r,0.014092140921409224
Harmonics_mag_7_r,0.013008130081300829
Beyond1Std_r,0.012195121951219546
IAR_phi_r,0.011653116531165342
ExcessVar_r,0.01138211382113824
Harmonics_mag_2_r,0.01084010840108406
SF_ML_gamma_r,0.010840108401084037
SmallKurtosis_r,0.010027100271002731
GP_DRW_sigma_r,0.009756097560975641
Period_band_r,0.007046070460704645
Q31_r,0.006775067750677544
Amplitude_r,0.006775067750677532
MedianBRP_r,0.006504065040650442
LinearTrend_r,0.005962059620596228
Harmonics_mag_1_r,0.005149051490514933
MHPS_ratio_r,0.004065040650406526
Harmonics_phase_3_r,0.003252032520325221
MHPS_low_r,0.0013550135501355087
Harmonics_phase_6_r,0.0008130081300813053
Gskew_r,0.0005420054200542035
PercentAmplitude_r,0.0005420054200542035
Pvar_r,0.0
Rcs_r,-0.0008130081300812941
Eta_e_r,-0.0008130081300813053
Mean_r,-0.0008130081300813053
Skew_r,-0.001897018970189701
Harmonics_phase_2_r,-0.002168021680216814
Harmonics_phase_5_r,-0.0024390243902439046
Harmonics_phase_7_r,-0.0027100271002710175
Harmonics_phase_4_r,-0.004336043360433595
