,BYDra_conf,RSCVN_conf
0,inf,inf
1,inf,inf
2,0.3371164930635364,inf
3,0.3371164930635364,0.3795324480838492
4,0.3371164930635364,0.3795324480838492
5,0.3371164930635364,0.3795324480838492
6,inf,inf
7,0.3371164930635364,inf
8,0.3371164930635364,0.3795324480838492
9,inf,inf
10,0.3371164930635364,inf
11,inf,inf
12,inf,inf
13,0.3371164930635364,inf
14,inf,inf
15,0.3371164930635364,0.3795324480838492
16,0.3371164930635364,0.3795324480838492
17,0.3371164930635364,0.3795324480838492
18,inf,inf
19,0.3371164930635364,0.3795324480838492
20,0.3371164930635364,0.3795324480838492
21,0.3371164930635364,0.3795324480838492
22,0.3371164930635364,0.3795324480838492
23,inf,inf
24,0.3371164930635364,0.3795324480838492
25,0.3371164930635364,0.3795324480838492
26,inf,inf
27,0.3371164930635364,0.3795324480838492
28,inf,inf
29,0.3371164930635364,0.3795324480838492
30,0.3371164930635364,inf
31,0.3371164930635364,0.3795324480838492
32,0.3371164930635364,inf
33,0.3371164930635364,0.3795324480838492
34,inf,inf
35,inf,inf
36,0.3371164930635364,0.3795324480838492
37,0.3371164930635364,0.3795324480838492
38,0.3371164930635364,0.3795324480838492
39,0.3371164930635364,inf
40,inf,inf
41,inf,inf
42,0.3371164930635364,inf
43,0.3371164930635364,0.3795324480838492
44,inf,inf
45,0.3371164930635364,inf
46,0.3371164930635364,0.3795324480838492
47,inf,inf
48,0.3371164930635364,inf
49,0.3371164930635364,0.3795324480838492
50,inf,inf
51,0.3371164930635364,inf
52,0.3371164930635364,inf
53,0.3371164930635364,0.3795324480838492
54,inf,inf
55,0.3371164930635364,inf
56,0.3371164930635364,inf
57,inf,inf
58,0.3371164930635364,inf
59,inf,inf
60,inf,inf
61,inf,inf
62,0.3371164930635364,0.3795324480838492
63,inf,inf
64,0.3371164930635364,0.3795324480838492
65,inf,inf
66,inf,inf
67,inf,inf
68,inf,inf
69,0.3371164930635364,0.3795324480838492
70,0.3371164930635364,0.3795324480838492
71,inf,inf
72,0.3371164930635364,inf
73,inf,inf
74,inf,inf
75,inf,inf
76,inf,inf
77,0.3371164930635364,inf
78,0.3371164930635364,0.3795324480838492
79,0.3371164930635364,inf
80,0.3371164930635364,0.3795324480838492
81,0.3371164930635364,0.3795324480838492
82,0.3371164930635364,0.3795324480838492
83,0.3371164930635364,0.3795324480838492
84,inf,inf
85,0.3371164930635364,0.3795324480838492
86,0.3371164930635364,0.3795324480838492
87,0.3371164930635364,0.3795324480838492
88,0.3371164930635364,0.3795324480838492
89,0.3371164930635364,inf
90,inf,inf
91,inf,inf
92,inf,inf
93,0.3371164930635364,0.3795324480838492
94,0.3371164930635364,inf
95,0.3371164930635364,inf
96,inf,inf
97,inf,inf
98,0.3371164930635364,inf
99,0.3371164930635364,0.3795324480838492
100,inf,inf
101,inf,inf
102,0.3371164930635364,0.3795324480838492
103,inf,inf
104,0.3371164930635364,inf
105,inf,inf
106,inf,inf
107,inf,inf
108,inf,inf
109,inf,inf
110,0.3371164930635364,0.3795324480838492
111,0.3371164930635364,0.3795324480838492
112,0.3371164930635364,0.3795324480838492
113,0.3371164930635364,0.3795324480838492
114,0.3371164930635364,0.3795324480838492
115,0.3371164930635364,0.3795324480838492
116,inf,inf
117,inf,inf
118,0.3371164930635364,0.3795324480838492
119,0.3371164930635364,inf
120,0.3371164930635364,inf
121,inf,inf
122,0.3371164930635364,inf
123,0.3371164930635364,0.3795324480838492
124,0.3371164930635364,inf
125,inf,inf
126,0.3371164930635364,inf
127,0.3371164930635364,0.3795324480838492
128,inf,inf
129,0.3371164930635364,inf
130,inf,inf
131,0.3371164930635364,0.3795324480838492
132,0.3371164930635364,0.3795324480838492
133,0.3371164930635364,0.3795324480838492
134,0.3371164930635364,inf
135,0.3371164930635364,0.3795324480838492
136,inf,inf
137,inf,inf
138,0.3371164930635364,0.3795324480838492
139,0.3371164930635364,inf
140,inf,inf
141,0.3371164930635364,0.3795324480838492
142,0.3371164930635364,inf
143,0.3371164930635364,inf
144,inf,inf
145,0.3371164930635364,0.3795324480838492
146,inf,inf
147,0.3371164930635364,inf
148,0.3371164930635364,0.3795324480838492
149,0.3371164930635364,0.3795324480838492
150,inf,inf
151,0.3371164930635364,inf
152,inf,inf
153,0.3371164930635364,inf
154,inf,inf
155,inf,inf
156,0.3371164930635364,0.3795324480838492
157,0.3371164930635364,inf
158,inf,inf
159,0.3371164930635364,0.3795324480838492
160,inf,inf
161,0.3371164930635364,0.3795324480838492
162,0.3371164930635364,0.3795324480838492
163,0.3371164930635364,0.3795324480838492
164,0.3371164930635364,inf
165,inf,inf
166,0.3371164930635364,inf
167,inf,inf
168,0.3371164930635364,inf
169,inf,inf
170,inf,inf
171,0.3371164930635364,inf
172,0.3371164930635364,inf
173,inf,inf
174,inf,inf
175,inf,inf
176,0.3371164930635364,0.3795324480838492
177,0.3371164930635364,0.3795324480838492
178,0.3371164930635364,inf
179,0.3371164930635364,inf
180,0.3371164930635364,inf
181,0.3371164930635364,inf
182,0.3371164930635364,inf
183,0.3371164930635364,inf
184,0.3371164930635364,0.3795324480838492
185,inf,inf
186,inf,inf
187,0.3371164930635364,0.3795324480838492
188,0.3371164930635364,0.3795324480838492
189,0.3371164930635364,0.3795324480838492
190,inf,inf
191,inf,inf
192,inf,inf
193,inf,inf
194,0.3371164930635364,0.3795324480838492
195,inf,inf
196,0.3371164930635364,inf
197,inf,inf
198,0.3371164930635364,inf
199,inf,inf
200,inf,inf
201,0.3371164930635364,0.3795324480838492
202,0.3371164930635364,0.3795324480838492
203,inf,inf
204,0.3371164930635364,0.3795324480838492
205,0.3371164930635364,inf
206,0.3371164930635364,inf
207,inf,inf
208,0.3371164930635364,inf
209,0.3371164930635364,inf
210,0.3371164930635364,0.3795324480838492
211,0.3371164930635364,0.3795324480838492
212,0.3371164930635364,inf
213,inf,inf
214,0.3371164930635364,inf
215,inf,inf
216,inf,inf
217,0.3371164930635364,0.3795324480838492
218,0.3371164930635364,inf
219,inf,inf
220,0.3371164930635364,0.3795324480838492
221,0.3371164930635364,0.3795324480838492
222,inf,inf
223,0.3371164930635364,0.3795324480838492
224,0.3371164930635364,0.3795324480838492
225,inf,inf
226,0.3371164930635364,inf
227,0.3371164930635364,inf
228,inf,inf
229,inf,inf
230,0.3371164930635364,0.3795324480838492
231,0.3371164930635364,inf
232,0.3371164930635364,0.3795324480838492
233,inf,inf
234,0.3371164930635364,inf
235,0.3371164930635364,inf
236,0.3371164930635364,inf
237,0.3371164930635364,inf
238,0.3371164930635364,0.3795324480838492
239,inf,inf
240,inf,inf
241,inf,inf
242,inf,inf
243,0.3371164930635364,0.3795324480838492
244,inf,inf
245,inf,inf
246,inf,inf
247,inf,inf
248,0.3371164930635364,inf
249,0.3371164930635364,inf
250,0.3371164930635364,0.3795324480838492
251,0.3371164930635364,0.3795324480838492
252,0.3371164930635364,0.3795324480838492
253,0.3371164930635364,0.3795324480838492
254,0.3371164930635364,inf
255,0.3371164930635364,0.3795324480838492
256,0.3371164930635364,inf
257,inf,inf
258,inf,inf
259,0.3371164930635364,inf
260,0.3371164930635364,0.3795324480838492
261,0.3371164930635364,inf
262,inf,inf
263,0.3371164930635364,inf
264,inf,inf
265,0.3371164930635364,0.3795324480838492
266,0.3371164930635364,0.3795324480838492
267,0.3371164930635364,0.3795324480838492
268,inf,inf
269,0.3371164930635364,0.3795324480838492
270,0.3371164930635364,0.3795324480838492
271,0.3371164930635364,0.3795324480838492
272,0.3371164930635364,0.3795324480838492
273,0.3371164930635364,0.3795324480838492
274,inf,inf
275,0.3371164930635364,0.3795324480838492
276,inf,inf
277,0.3371164930635364,0.3795324480838492
278,0.3371164930635364,inf
279,inf,inf
280,0.3371164930635364,0.3795324480838492
281,0.3371164930635364,0.3795324480838492
282,inf,inf
283,inf,inf
284,inf,inf
285,inf,inf
286,0.3371164930635364,inf
287,0.3371164930635364,0.3795324480838492
288,0.3371164930635364,0.3795324480838492
289,inf,inf
290,0.3371164930635364,0.3795324480838492
291,inf,inf
292,0.3371164930635364,0.3795324480838492
293,inf,inf
294,0.3371164930635364,inf
295,0.3371164930635364,inf
296,inf,inf
297,0.3371164930635364,0.3795324480838492
298,inf,inf
299,inf,inf
300,0.3371164930635364,0.3795324480838492
301,0.3371164930635364,0.3795324480838492
302,0.3371164930635364,0.3795324480838492
303,0.3371164930635364,inf
304,0.3371164930635364,inf
305,0.3371164930635364,0.3795324480838492
306,inf,inf
307,0.3371164930635364,0.3795324480838492
308,0.3371164930635364,inf
309,0.3371164930635364,0.3795324480838492
310,0.3371164930635364,inf
311,0.3371164930635364,inf
312,0.3371164930635364,inf
313,0.3371164930635364,0.3795324480838492
314,0.3371164930635364,inf
315,inf,inf
316,inf,inf
317,0.3371164930635364,inf
318,0.3371164930635364,inf
319,inf,inf
320,0.3371164930635364,0.3795324480838492
321,0.3371164930635364,inf
322,inf,inf
323,0.3371164930635364,0.3795324480838492
324,inf,inf
325,0.3371164930635364,inf
326,0.3371164930635364,inf
327,inf,inf
328,0.3371164930635364,inf
329,0.3371164930635364,inf
330,0.3371164930635364,0.3795324480838492
331,0.3371164930635364,inf
