,Number of selected features,Selected F1 Score
Euclidean,5.0,0.6785773928280707
Braycurtis,3.0,0.656275397654708
Canberra,1.0,0.6216584456691142
Cityblock,5.0,0.6471124950215432
Chebyshev,2.0,0.6736842105263158
Clark,2.0,0.6603939925569371
Correlation,9.0,0.657424431387171
Cosine,6.0,0.6726492584048127
Hellinger,2.0,0.6570176257244826
Jaccard,3.0,0.6812385627559765
Lorentzian,3.0,0.6399797130258871
Marylandbridge,14.0,0.6451111045880178
Meehl,7.0,0.6643858650662251
Motyka,2.0,0.6421238757005181
Soergel,2.0,0.6421238757005181
Wave_Hedges,1.0,0.6216584456691142
Kulczynski,2.0,0.6421238757005181
Add_Chisq,2.0,0.6637190185577282
