num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
5,"(3, 5, 7, 9, 21)",[0.94809907 0.93295858 0.91098631 0.92106237 0.95063948],0.9327491616362693,"('Period_band_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Mean_r')",0.019626941257018287,0.015270427089662685,0.0076352135448313424
6,"(3, 5, 7, 9, 16, 21)",[0.94579523 0.93295858 0.91098631 0.92106237 0.95063948],0.9322883939771675,"('Period_band_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'Mean_r')",0.019059165215071255,0.014828678039809638,0.007414339019904819
7,"(3, 5, 7, 9, 16, 21, 27)",[0.94352661 0.93066268 0.90873437 0.91673706 0.95063948],0.9300600390814775,"('Period_band_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'Mean_r', 'StetsonK_r')",0.020220458593196697,0.015732203740944112,0.007866101870472056
8,"(3, 5, 7, 9, 16, 18, 21, 27)",[0.94143456 0.92623762 0.91092475 0.91475252 0.94623209],0.9279163086683455,"('Period_band_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'StetsonK_r')",0.018021842509586855,0.014021605733681095,0.007010802866840547
4,"(3, 7, 9, 21)",[0.94584138 0.92826035 0.90002314 0.91226645 0.95299203],0.9278766693113072,"('Period_band_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Mean_r')",0.025532731267776464,0.019865332357129797,0.009932666178564899
3,"(3, 7, 9)",[0.94137139 0.9214554  0.89350288 0.91470281 0.95291458],0.924789412232607,"('Period_band_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r')",0.026699979478656037,0.02077349112045223,0.010386745560226115
9,"(3, 5, 7, 9, 10, 16, 18, 21, 27)",[0.93910898 0.91214975 0.90188076 0.91887029 0.93727911],0.9218577771159804,"('Period_band_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'StetsonK_r')",0.018515983384288115,0.014406064121788284,0.007203032060894142
2,"(3, 9)",[0.92631649 0.92421595 0.90392002 0.91720948 0.92211905],0.9187561994082669,"('Period_band_r', 'Harmonics_phase_2_r')",0.010294853185533208,0.008009745528343689,0.004004872764171844
10,"(3, 5, 7, 9, 10, 14, 16, 18, 21, 27)",[0.9254431  0.9008836  0.90166711 0.91219891 0.93484427],0.9150073977069304,"('Period_band_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'StetsonK_r')",0.0171261148093906,0.013324699152114441,0.006662349576057221
11,"(3, 4, 5, 7, 9, 10, 14, 16, 18, 21, 27)",[0.90073512 0.90125609 0.88014714 0.90773697 0.9214941 ],0.9022738827704903,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'StetsonK_r')",0.01716966579014967,0.013358583294714952,0.006679291647357476
12,"(3, 4, 5, 7, 9, 10, 14, 16, 18, 21, 22, 27)",[0.90317661 0.89456083 0.88018508 0.89881464 0.91445418],0.8982382691219504,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'StetsonK_r')",0.01439429664950134,0.011199251814879027,0.005599625907439513
