num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
6,"(3, 4, 8, 9, 16, 29)",[0.88431214 0.86946154 0.83128828 0.86414124 0.85725535],0.861291709556322,"('Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'IAR_phi_r')",0.022419421772876306,0.017443071800741405,0.008721535900370702
7,"(3, 4, 6, 8, 9, 16, 29)",[0.87875066 0.86095441 0.83446065 0.86748462 0.86193833],0.8607177337265174,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'IAR_phi_r')",0.018731388571624253,0.014573656675557987,0.007286828337778993
5,"(3, 4, 8, 9, 29)",[0.88242222 0.86788327 0.81846483 0.86275372 0.8552596 ],0.8573567259388041,"('Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'IAR_phi_r')",0.027477537897798655,0.02137845798676029,0.010689228993380144
8,"(3, 4, 6, 8, 9, 13, 16, 29)",[0.88534362 0.85674519 0.83627504 0.86211212 0.84441961],0.8569791155912997,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'IAR_phi_r')",0.021639866518848798,0.016836551329053855,0.008418275664526928
9,"(0, 3, 4, 6, 8, 9, 13, 16, 29)",[0.87889252 0.85665025 0.83410455 0.84907698 0.857292  ],0.855203260364813,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'IAR_phi_r')",0.018628515489047853,0.014493617922376818,0.007246808961188409
10,"(0, 3, 4, 6, 8, 9, 11, 13, 16, 29)",[0.87044196 0.8577394  0.83970178 0.84999343 0.84274654],0.8521246206670016,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'IAR_phi_r')",0.014241441174437926,0.011080325062276812,0.005540162531138405
4,"(3, 8, 9, 29)",[0.86978209 0.86327295 0.79368683 0.87256164 0.84718239],0.849297180461587,"('Period_band_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'IAR_phi_r')",0.03748633162982862,0.029165639541898627,0.014582819770949313
11,"(0, 3, 4, 6, 8, 9, 11, 13, 16, 19, 29)",[0.86148985 0.85199322 0.82897747 0.8407461  0.82821835],0.8422850005546426,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'Eta_e_r', 'IAR_phi_r')",0.01666329195643209,0.012964607248899243,0.006482303624449621
12,"(0, 3, 4, 6, 8, 9, 11, 13, 14, 16, 19, 29)",[0.85463164 0.85028891 0.83081298 0.83272279 0.82132936],0.8379571384937752,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Eta_e_r', 'IAR_phi_r')",0.016104980276885086,0.012530221794528913,0.006265110897264456
3,"(3, 9, 29)",[0.83145078 0.83793351 0.81259252 0.83745274 0.84413641],0.8327131905523888,"('Period_band_r', 'Harmonics_phase_2_r', 'IAR_phi_r')",0.013922020449291389,0.010831804886340932,0.005415902443170465
