Feature Name,Relative Importance
Skew_r,0.03907734056987791
Gskew_r,0.026051560379918605
Period_band_r,0.025373134328358214
IAR_phi_r,0.024151967435549537
GP_DRW_tau_r,0.015196743554952551
MHPS_low_r,0.011533242876526517
Harmonics_mag_7_r,0.008412483039348762
MHPS_high_r,0.008005427408412535
PercentAmplitude_r,0.003663500678426068
Eta_e_r,0.003256445047489842
Harmonics_mag_1_r,0.00325644504748982
Amplitude_r,0.0023066485753052814
MedianBRP_r,0.002170963364993206
Harmonics_phase_3_r,0.0012211668928086782
Psi_eta_r,0.0009497964721845275
Harmonics_phase_4_r,0.0005427408412483015
Harmonics_phase_6_r,0.00027137042062415074
Beyond1Std_r,0.00013568521031207537
Autocor_length_r,0.0
AndersonDarling_r,0.0
Mean_r,0.0
StetsonK_r,0.0
SmallKurtosis_r,-0.00013568521031206426
Harmonics_phase_2_r,-0.00013568521031207537
Psi_CS_r,-0.00027137042062415074
Rcs_r,-0.001085481682496603
MHPS_ratio_r,-0.001899592944369055
Harmonics_phase_7_r,-0.002170963364993206
Harmonics_phase_5_r,-0.0024423337856173564
LinearTrend_r,-0.008683853459972812
SF_ML_gamma_r,-0.017367706919945703
