num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 3, 4, 9, 10, 15, 16, 17, 21, 24)",[0.92660494 0.92232414 0.92404246 0.91545066 0.92647106],0.9229786526811683,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Rcs_r')",0.005254861608535516,0.00408846085636065,0.002044230428180325
8,"(0, 3, 4, 9, 10, 15, 21, 24)",[0.92660494 0.92232414 0.92404246 0.91545066 0.92647106],0.9229786526811683,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Amplitude_r', 'Mean_r', 'Rcs_r')",0.005254861608535516,0.00408846085636065,0.002044230428180325
9,"(0, 3, 4, 9, 10, 15, 16, 21, 24)",[0.92660494 0.92232414 0.92404246 0.91545066 0.92647106],0.9229786526811683,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Amplitude_r', 'AndersonDarling_r', 'Mean_r', 'Rcs_r')",0.005254861608535516,0.00408846085636065,0.002044230428180325
11,"(0, 3, 4, 9, 10, 15, 16, 17, 21, 24, 27)",[0.92660494 0.92232414 0.92404246 0.91545066 0.92647106],0.9229786526811683,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.005254861608535516,0.00408846085636065,0.002044230428180325
12,"(0, 3, 4, 9, 10, 15, 16, 17, 18, 21, 24, 27)",[0.92874198 0.9200385  0.92404246 0.91757061 0.92432716],0.9229441415694536,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.0049463337681380235,0.0038484157148266237,0.0019242078574133116
13,"(0, 3, 4, 5, 9, 10, 15, 16, 17, 18, 21, 24, 27)",[0.92675273 0.91780558 0.92404246 0.91757061 0.92661113],0.9225565015528645,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.005258291960233898,0.004091129786522313,0.0020455648932611566
7,"(0, 3, 4, 9, 10, 15, 24)",[0.92660494 0.92010703 0.92189214 0.91545066 0.92647106],0.9221051665277953,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Amplitude_r', 'Rcs_r')",0.005380729604386078,0.004186390433281898,0.002093195216640949
6,"(3, 4, 9, 10, 15, 24)",[0.92874198 0.91356888 0.91969349 0.91306025 0.92456113],0.9199251455503535,"('Period_band_r', 'GP_DRW_tau_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Amplitude_r', 'Rcs_r')",0.007856302965177865,0.006112470611341453,0.003056235305670726
14,"(0, 3, 4, 5, 9, 10, 14, 15, 16, 17, 18, 21, 24, 27)",[0.92206978 0.91542664 0.92189492 0.91314123 0.92653173],0.9198128603314176,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.006252420401637938,0.004864595487745218,0.002432297743872609
5,"(3, 9, 10, 15, 24)",[0.92806319 0.91746491 0.9118963  0.91657021 0.91718313],0.9182355478519793,"('Period_band_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Amplitude_r', 'Rcs_r')",0.006831258149357473,0.005314950920491775,0.0026574754602458873
