,class,pred
0,DSCT,DSCT
1,DSCT,RR
2,CEP,CEP
3,RRc,RR
4,DSCT,DSCT
5,DSCT,DSCT
6,DSCT,DSCT
7,RRc,RRc
8,DSCT,DSCT
9,RR,RR
10,RRc,RRc
11,RR,RR
12,RR,RR
13,CEP,CEP
14,CEP,CEP
15,CEP,CEP
16,DSCT,DSCT
17,CEP,CEP
18,DSCT,DSCT
19,CEP,CEP
20,DSCT,DSCT
21,DSCT,DSCT
22,DSCT,DSCT
23,RR,CEP
24,DSCT,DSCT
25,CEP,CEP
26,DSCT,DSCT
27,RR,RR
28,DSCT,DSCT
29,RRc,RR
30,DSCT,DSCT
31,CEP,CEP
32,RR,RR
33,CEP,CEP
34,CEP,CEP
35,DSCT,DSCT
36,CEP,DSCT
37,RRc,RRc
38,CEP,CEP
39,RRc,CEP
40,CEP,CEP
41,DSCT,DSCT
42,CEP,CEP
43,CEP,CEP
44,RRc,RRc
45,RR,RR
46,RRc,RRc
47,RRc,RRc
48,RRc,RRc
49,RRc,RRc
50,CEP,CEP
51,DSCT,DSCT
52,RRc,RRc
53,DSCT,DSCT
54,DSCT,DSCT
55,CEP,CEP
56,RRc,RR
57,CEP,CEP
58,CEP,CEP
59,RRc,RRc
60,DSCT,DSCT
61,RR,RRc
62,DSCT,RRc
63,RR,RR
64,CEP,RR
65,CEP,CEP
66,DSCT,DSCT
67,RR,RR
68,CEP,CEP
69,RR,RRc
70,RR,RR
71,RRc,RR
72,RRc,RRc
73,DSCT,DSCT
74,RRc,RR
75,RRc,RRc
76,DSCT,DSCT
77,CEP,CEP
78,CEP,CEP
79,RR,RR
80,RRc,RRc
81,RR,RR
82,DSCT,DSCT
83,CEP,CEP
84,DSCT,DSCT
85,DSCT,DSCT
86,CEP,CEP
87,DSCT,DSCT
88,CEP,CEP
89,RR,RR
90,RRc,RRc
91,DSCT,DSCT
92,RRc,RRc
93,RRc,RRc
94,RRc,RRc
95,RRc,CEP
96,RR,RR
97,DSCT,DSCT
98,RRc,RRc
99,DSCT,RR
