num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
7,"(3, 6, 8, 9, 10, 18, 19)",[0.83689445 0.78865446 0.8109451  0.82141984 0.79499257],0.8105812841047537,"('Period_band_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Beyond1Std_r', 'Eta_e_r')",0.02251118547605818,0.017514467079331502,0.00875723353966575
8,"(3, 6, 8, 9, 10, 13, 18, 19)",[0.8389136  0.78554422 0.80822784 0.825129   0.7854713 ],0.8086571891097879,"('Period_band_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_6_r', 'Beyond1Std_r', 'Eta_e_r')",0.027318101986663963,0.021254411431335583,0.01062720571566779
6,"(3, 6, 8, 9, 10, 19)",[0.81964258 0.78511479 0.81724986 0.82397368 0.79601459],0.8083991018198328,"('Period_band_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Eta_e_r')",0.019431752636427286,0.015118563711643917,0.007559281855821959
5,"(3, 6, 8, 9, 19)",[0.82445173 0.78298168 0.81945504 0.8198973  0.79490942],0.8083390351341097,"('Period_band_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Eta_e_r')",0.021042123755794517,0.016371487152111366,0.008185743576055681
9,"(3, 6, 8, 9, 10, 13, 15, 18, 19)",[0.83163974 0.78200216 0.80103773 0.83602771 0.78350984],0.8068434350793282,"('Period_band_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_6_r', 'Amplitude_r', 'Beyond1Std_r', 'Eta_e_r')",0.02965559811103587,0.02307306282852293,0.011536531414261463
4,"(3, 8, 9, 19)",[0.82839973 0.77422959 0.81181695 0.81503259 0.79728798],0.8053533677940337,"('Period_band_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Eta_e_r')",0.02370196485382394,0.018440933889922465,0.009220466944961233
10,"(3, 6, 8, 9, 10, 13, 14, 15, 18, 19)",[0.83352341 0.78391083 0.79661981 0.82895405 0.77949624],0.8045008672458496,"('Period_band_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Eta_e_r')",0.029034822544107566,0.022590078347666392,0.011295039173833196
3,"(3, 8, 19)",[0.79339679 0.78067489 0.82246183 0.8110273  0.8126821 ],0.8040485817169989,"('Period_band_r', 'Harmonics_mag_7_r', 'Eta_e_r')",0.01925431335188019,0.014980509920070592,0.007490254960035295
11,"(3, 6, 8, 9, 10, 12, 13, 14, 15, 18, 19)",[0.8257205  0.77568363 0.78780109 0.8321421  0.769435  ],0.7981564636123613,"('Period_band_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Eta_e_r')",0.03327878094670583,0.025892022166103416,0.012946011083051708
2,"(3, 19)",[0.77775608 0.79061778 0.78458004 0.816133   0.81563256],0.7969438928405688,"('Period_band_r', 'Eta_e_r')",0.02055295979147689,0.015990900969364643,0.007995450484682321
