num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
6,"(3, 9, 10, 18, 21, 27)",[0.9190252  0.93234218 0.9072792  0.92398557 0.95078149],0.9266827269354062,"('Period_band_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Beyond1Std_r', 'Mean_r', 'StetsonK_r')",0.018671598738660092,0.014527138154254732,0.007263569077127366
5,"(3, 9, 10, 18, 21)",[0.9190418  0.93232577 0.9072792  0.92391074 0.95078149],0.9266677985917914,"('Period_band_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Beyond1Std_r', 'Mean_r')",0.018671321913453914,0.014526922774839664,0.007263461387419832
4,"(3, 9, 10, 18)",[0.91910454 0.93012809 0.90503406 0.92617325 0.94848889],0.9257857641374742,"('Period_band_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Beyond1Std_r')",0.018264792891900285,0.014210629384943937,0.0071053146924719675
7,"(3, 9, 10, 14, 18, 21, 27)",[0.92799875 0.92591799 0.90495971 0.91507766 0.95088668],0.9249681542511796,"('Period_band_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Mean_r', 'StetsonK_r')",0.01974515127653374,0.015362398500828593,0.007681199250414296
3,"(3, 9, 10)",[0.92108148 0.92797606 0.90283268 0.92370537 0.94389247],0.9238976149286525,"('Period_band_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r')",0.01693589182390731,0.013176699206908416,0.006588349603454208
2,"(3, 9)",[0.92118068 0.92797885 0.90300336 0.91725526 0.93259997],0.9204036224786695,"('Period_band_r', 'Harmonics_phase_2_r')",0.013100134114147661,0.010192349395419008,0.005096174697709504
8,"(3, 5, 9, 10, 14, 18, 21, 27)",[0.92124012 0.92590032 0.8955167  0.91907745 0.93949883],0.9202466826121999,"('Period_band_r', 'Psi_CS_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Beyond1Std_r', 'Mean_r', 'StetsonK_r')",0.018326414351225652,0.01425857297378258,0.007129286486891289
9,"(3, 5, 9, 10, 14, 15, 18, 21, 27)",[0.92628273 0.90602399 0.90603877 0.91530498 0.92239129],0.9152083515127749,"('Period_band_r', 'Psi_CS_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'StetsonK_r')",0.010640462786430023,0.00827864153933547,0.004139320769667735
1,"(3,)",[0.91447236 0.90833753 0.89521417 0.90140624 0.91935737],0.9077575335300327,"('Period_band_r',)",0.011170300285425155,0.008690873113874942,0.004345436556937471
10,"(3, 5, 9, 10, 13, 14, 15, 18, 21, 27)",[0.92153967 0.88723077 0.90129438 0.91473909 0.91320843],0.9076024667877723,"('Period_band_r', 'Psi_CS_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Beyond1Std_r', 'Mean_r', 'StetsonK_r')",0.015545132571718282,0.012094641260042543,0.0060473206300212705
