num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
7,"(3, 6, 11, 14, 15, 22, 25)",[0.91139515 0.90376875 0.89264507 0.89910237 0.9111466 ],0.9036115885792533,"('Period_band_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Skew_r')",0.009232333206621117,0.007183068887454208,0.003591534443727104
5,"(3, 6, 15, 22, 25)",[0.90682038 0.90587927 0.89018524 0.90565377 0.90664459],0.9030366507270171,"('Period_band_r', 'Psi_eta_r', 'Amplitude_r', 'MedianBRP_r', 'Skew_r')",0.008278357636938348,0.006440843484555476,0.003220421742277738
6,"(3, 6, 14, 15, 22, 25)",[0.90246643 0.90373644 0.89451046 0.90126286 0.90917988],0.9022312149541696,"('Period_band_r', 'Psi_eta_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Skew_r')",0.0060600559208322975,0.004714929386424772,0.0023574646932123856
8,"(3, 6, 11, 14, 15, 22, 25, 28)",[0.90901988 0.90156032 0.89042359 0.89875206 0.9069001 ],0.9013311906801851,"('Period_band_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Skew_r', 'SF_ML_gamma_r')",0.00844405664092348,0.006569762938995678,0.003284881469497839
9,"(3, 4, 6, 11, 14, 15, 22, 25, 28)",[0.90443918 0.9110499  0.8824017  0.89744132 0.90960388],0.9009871970098867,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Skew_r', 'SF_ML_gamma_r')",0.013423944769093036,0.010444285085878727,0.0052221425429393635
2,"(3, 22)",[0.90367505 0.90361433 0.88197463 0.89681011 0.91708886],0.9006325939894969,"('Period_band_r', 'MedianBRP_r')",0.014673576182540858,0.011416540779627418,0.005708270389813709
3,"(3, 22, 25)",[0.89566426 0.90866989 0.88379421 0.89786334 0.91513991],0.9002263215857429,"('Period_band_r', 'MedianBRP_r', 'Skew_r')",0.01396324320065931,0.010863877587377524,0.005431938793688762
4,"(3, 6, 22, 25)",[0.90854225 0.91512102 0.87390964 0.89264266 0.90815628],0.8996743696189533,"('Period_band_r', 'Psi_eta_r', 'MedianBRP_r', 'Skew_r')",0.019085137987405354,0.014848885739066007,0.007424442869533004
10,"(3, 4, 6, 11, 12, 14, 15, 22, 25, 28)",[0.90246768 0.91090097 0.87569846 0.88818029 0.8909098 ],0.8936314390673219,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Skew_r', 'SF_ML_gamma_r')",0.0155836409308944,0.012124602071737088,0.006062301035868544
11,"(3, 4, 6, 11, 12, 14, 15, 22, 24, 25, 28)",[0.89583692 0.90228335 0.8801147  0.88615806 0.88764289],0.8904071846735349,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Rcs_r', 'Skew_r', 'SF_ML_gamma_r')",0.009991547270222256,0.007773763221932948,0.003886881610966474
1,"(3,)",[0.90613706 0.89084249 0.86160315 0.88375921 0.9060208 ],0.8896725415242761,"('Period_band_r',)",0.021217602816648796,0.01650801582305644,0.008254007911528218
12,"(3, 4, 6, 8, 11, 12, 14, 15, 22, 24, 25, 28)",[0.89190006 0.88929734 0.88511239 0.88217993 0.87466264],0.8846304708280325,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Rcs_r', 'Skew_r', 'SF_ML_gamma_r')",0.007716491924098074,0.0060036928715407915,0.0030018464357703958
13,"(3, 4, 6, 8, 11, 12, 13, 14, 15, 22, 24, 25, 28)",[0.89177731 0.88025909 0.87440902 0.88009036 0.86780281],0.8788677184868131,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Rcs_r', 'Skew_r', 'SF_ML_gamma_r')",0.0101595018765855,0.007904437611653548,0.003952218805826774
14,"(0, 3, 4, 6, 8, 11, 12, 13, 14, 15, 22, 24, 25, 28)",[0.88499656 0.87150095 0.86329358 0.86700061 0.86513247],0.8703848356350823,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Rcs_r', 'Skew_r', 'SF_ML_gamma_r')",0.010023200494390963,0.007798390505700263,0.0038991952528501313
15,"(0, 3, 4, 6, 8, 11, 12, 13, 14, 15, 22, 24, 25, 28, 30)",[0.87842707 0.86476058 0.86299103 0.8582375  0.86081326],0.8650458884685751,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Rcs_r', 'Skew_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.009045181929372736,0.00703745883561097,0.003518729417805485
19,"(0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 19, 21, 22, 24, 25, 28, 30)",[0.87104653 0.86694257 0.85998641 0.84953476 0.85777987],0.86105803015717,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Rcs_r', 'Skew_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.009602396111654513,0.007470990399823364,0.0037354951999116815
21,"(0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 19, 21, 22, 23, 24, 25, 26, 28, 30)",[0.86626571 0.8600184  0.85663281 0.85135702 0.85762282],0.8583793537570681,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.006239078100457546,0.004854214724145049,0.0024271073620725247
16,"(0, 1, 3, 4, 6, 8, 11, 12, 13, 14, 15, 22, 24, 25, 28, 30)",[0.86977313 0.85802662 0.85407917 0.85436759 0.85411164],0.8580716286253279,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'MedianBRP_r', 'Rcs_r', 'Skew_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.007760184953686057,0.006037687532956065,0.003018843766478032
20,"(0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 19, 21, 22, 24, 25, 26, 28, 30)",[0.86434349 0.86240949 0.86143534 0.84702601 0.8536416 ],0.8577711846507116,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.008342466581224638,0.006490722421201755,0.0032453612106008774
18,"(0, 1, 3, 4, 6, 8, 11, 12, 13, 14, 15, 19, 21, 22, 24, 25, 28, 30)",[0.87119409 0.86040734 0.84646091 0.83858156 0.85356319],0.8540414168232123,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Rcs_r', 'Skew_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.014443824455874736,0.011237786130859894,0.005618893065429947
22,"(0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 19, 21, 22, 23, 24, 25, 26, 28, 30)",[0.86678403 0.8496727  0.86184794 0.84290499 0.83753506],0.8517489433030525,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.014226777736997546,0.01106891640978303,0.005534458204891515
17,"(0, 1, 3, 4, 6, 8, 11, 12, 13, 14, 15, 19, 22, 24, 25, 28, 30)",[0.85519423 0.84341853 0.85530204 0.84465246 0.85716136],0.8511457239449083,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Eta_e_r', 'MedianBRP_r', 'Rcs_r', 'Skew_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.007532399629606746,0.005860462812206238,0.0029302314061031187
23,"(0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30)",[0.86012801 0.84747366 0.86392639 0.84278486 0.82811893],0.8484863712623696,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.01648269398718361,0.012824095893317336,0.006412047946658668
24,"(0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30)",[0.85771865 0.83827807 0.86180307 0.84277066 0.83221178],0.8465564448981626,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.014605875999207376,0.011363867736996231,0.005681933868498115
25,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30)",[0.85783829 0.83376494 0.85063578 0.84279091 0.82508302],0.8420225863914144,"('MHPS_ratio_r', 'MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'SF_ML_gamma_r', 'LinearTrend_r')",0.014989507756950708,0.011662346277752237,0.005831173138876118
