num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
7,"(0, 3, 4, 8, 9, 16, 29)",[0.90291556 0.89323468 0.86155752 0.87748222 0.8748983 ],0.8820176548492359,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'IAR_phi_r')",0.018647055113880075,0.014508042380348276,0.007254021190174138
8,"(0, 3, 4, 8, 9, 13, 16, 29)",[0.89359924 0.89284886 0.85650169 0.86760196 0.87228756],0.8765678617799797,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'IAR_phi_r')",0.01868318331061261,0.014536151344799776,0.007268075672399888
6,"(0, 3, 8, 9, 16, 29)",[0.89487812 0.88840173 0.84373243 0.88396367 0.86641108],0.8754774049578302,"('MHPS_ratio_r', 'Period_band_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'IAR_phi_r')",0.023737093168708895,0.01846826491232727,0.009234132456163635
5,"(3, 8, 9, 16, 29)",[0.88564257 0.88422386 0.84388913 0.88403978 0.8663496 ],0.8728289876656861,"('Period_band_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'IAR_phi_r')",0.02071839887904577,0.016119618200002784,0.008059809100001392
9,"(0, 3, 4, 8, 9, 13, 14, 16, 29)",[0.88525726 0.88871998 0.8456181  0.86624529 0.86525795],0.8702197175326253,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'IAR_phi_r')",0.020027807382089133,0.015582314553707602,0.0077911572768538
4,"(3, 8, 9, 29)",[0.87890601 0.88262261 0.83284061 0.88247436 0.86438045],0.8682448074484215,"('Period_band_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'IAR_phi_r')",0.024327356972918532,0.01892751020520382,0.00946375510260191
10,"(0, 3, 4, 6, 8, 9, 13, 14, 16, 29)",[0.87739182 0.87293635 0.85833402 0.8427102  0.85642198],0.8615588728689765,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'IAR_phi_r')",0.01597269723256505,0.012427301091958136,0.006213650545979068
11,"(0, 3, 4, 6, 8, 9, 11, 13, 14, 16, 29)",[0.86291172 0.85562448 0.86519694 0.84139955 0.85896581],0.8568197004471942,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'IAR_phi_r')",0.010770497347767492,0.008379812845757456,0.004189906422878727
15,"(0, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16, 21, 24, 29)",[0.8783718  0.82935101 0.86485718 0.85551091 0.84919936],0.8554580515368769,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Mean_r', 'Rcs_r', 'IAR_phi_r')",0.02099502225248142,0.016334840582340894,0.008167420291170447
13,"(0, 3, 4, 6, 8, 9, 11, 13, 14, 15, 16, 21, 29)",[0.88722715 0.84382155 0.83136984 0.85117533 0.86294109],0.8553069938533356,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Mean_r', 'IAR_phi_r')",0.02438091531556088,0.018969180415332496,0.009484590207666248
14,"(0, 3, 4, 6, 8, 9, 11, 13, 14, 15, 16, 21, 24, 29)",[0.87855779 0.83595782 0.84211169 0.85946641 0.85614541],0.854447825473024,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Mean_r', 'Rcs_r', 'IAR_phi_r')",0.019093547465151302,0.014855428598449955,0.007427714299224977
3,"(3, 9, 29)",[0.85796628 0.85091864 0.8410259  0.84793876 0.85463654],0.8504972222385339,"('Period_band_r', 'Harmonics_phase_2_r', 'IAR_phi_r')",0.007480129964254982,0.005819795236790239,0.0029098976183951192
12,"(0, 3, 4, 6, 8, 9, 11, 13, 14, 15, 16, 29)",[0.87684227 0.84341789 0.83397562 0.85526844 0.84119266],0.8501393759354526,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'IAR_phi_r')",0.01928656971348043,0.015005606465250199,0.007502803232625099
16,"(0, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 21, 24, 29)",[0.86494854 0.82509421 0.84559411 0.84468183 0.83882813],0.843829365519387,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Rcs_r', 'IAR_phi_r')",0.0165186547525568,0.01285207459048307,0.006426037295241535
17,"(0, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 21, 24, 29)",[0.84897474 0.82665197 0.82727661 0.8444474  0.82996079],0.8354623014618378,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Rcs_r', 'IAR_phi_r')",0.012032575864291574,0.009361752808568475,0.004680876404284238
18,"(0, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 24, 29)",[0.845959   0.81122881 0.82091109 0.83130898 0.82515831],0.8269132366900862,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Eta_e_r', 'Mean_r', 'Rcs_r', 'IAR_phi_r')",0.014846866333137603,0.011551366404027655,0.005775683202013827
19,"(0, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 24, 28, 29)",[0.84006466 0.81372871 0.79763224 0.82515495 0.81730233],0.8187765789044755,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Eta_e_r', 'Mean_r', 'Rcs_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.017889141966905237,0.013918360203201216,0.006959180101600607
20,"(0, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 24, 28, 29)",[0.80614453 0.802685   0.78635748 0.83102873 0.80587067],0.8064172841053183,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Eta_e_r', 'Mean_r', 'Rcs_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.018379406079869237,0.014299802338970477,0.007149901169485238
21,"(0, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 23, 24, 28, 29)",[0.81093138 0.79653009 0.77425209 0.82524805 0.8002287 ],0.8014380628197022,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Eta_e_r', 'Mean_r', 'PercentAmplitude_r', 'Rcs_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.02167281243417993,0.01686218437046251,0.008431092185231253
22,"(0, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 28, 29)",[0.78663184 0.79941307 0.77004458 0.81308585 0.79260503],0.7923560732026006,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.018268834129904432,0.0142137736054053,0.007106886802702651
23,"(0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 28, 29)",[0.78927187 0.77857589 0.75823537 0.79999356 0.8009831 ],0.7854119590747398,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.02036512057710588,0.015844755679068512,0.007922377839534256
24,"(0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 28, 29)",[0.78313172 0.75663689 0.74522121 0.81314756 0.7671599 ],0.7730594549544143,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.030350183942407658,0.02361347420269377,0.011806737101346883
2,"(3, 9)",[0.74930041 0.75697529 0.77146824 0.76375148 0.78262146],0.7648233785746044,"('Period_band_r', 'Harmonics_phase_2_r')",0.014818569599189408,0.011529350583682903,0.0057646752918414515
25,"(0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29)",[0.79349531 0.73617504 0.73982696 0.79107526 0.7589516 ],0.7639048332221237,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'StetsonK_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.03141503442807152,0.0244419640570111,0.012220982028505549
26,"(0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30)",[0.77599942 0.72981719 0.72854087 0.77393637 0.7497708 ],0.751612930723685,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Eta_e_r', 'Gskew_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'StetsonK_r', 'SF_ML_gamma_r', 'IAR_phi_r', 'LinearTrend_r')",0.026364475508383084,0.020512457633407304,0.01025622881670365
