Feature Name,Relative Importance
Period_band_r,0.1853459972862958
Amplitude_r,0.0704206241519674
MHPS_low_r,0.0682496607869742
Harmonics_phase_2_r,0.04966078697421979
MHPS_high_r,0.04898236092265942
Gskew_r,0.045183175033921254
PercentAmplitude_r,0.04056987788331069
Harmonics_phase_3_r,0.037449118046132934
MedianBRP_r,0.035956580732700104
Harmonics_mag_1_r,0.0331071913161465
Skew_r,0.0320217096336499
Rcs_r,0.025915875169606493
IAR_phi_r,0.025644504748982333
StetsonK_r,0.018995929443690607
SmallKurtosis_r,0.018453188602442307
Eta_e_r,0.017232021709633605
Mean_r,0.016146540027137002
Psi_CS_r,0.01289009497964716
LinearTrend_r,0.012347354138398858
Beyond1Std_r,0.011804613297150556
GP_DRW_tau_r,0.009905020352781502
Harmonics_phase_4_r,0.008955223880596974
Harmonics_phase_5_r,0.00732700135685207
Autocor_length_r,0.006784260515603768
MHPS_ratio_r,0.0059701492537313165
SF_ML_gamma_r,0.00379918588873811
Harmonics_mag_7_r,0.0035278154681139596
Harmonics_phase_6_r,0.002578018995929432
AndersonDarling_r,0.0024423337856173456
Harmonics_phase_7_r,-0.0008141112618724744
Psi_eta_r,-0.01641791044776123
