,class,pred
0,RRc,RRc
1,CEP,CEP
2,RRc,RRc
3,RRc,CEP
4,RRc,RRc
5,RRc,CEP
6,DSCT,DSCT
7,CEP,CEP
8,RRc,RRc
9,CEP,CEP
10,DSCT,DSCT
11,RR,RR
12,DSCT,RRc
13,CEP,CEP
14,CEP,CEP
15,RRc,RRc
16,DSCT,DSCT
17,RRc,CEP
18,RR,CEP
19,DSCT,DSCT
20,CEP,RR
21,CEP,CEP
22,RRc,RRc
23,CEP,CEP
24,CEP,RRc
25,RR,RR
26,RR,RR
27,DSCT,DSCT
28,DSCT,DSCT
29,DSCT,CEP
30,DSCT,DSCT
31,RRc,CEP
32,CEP,CEP
33,CEP,CEP
34,DSCT,DSCT
35,CEP,CEP
36,RR,RR
37,RR,RR
38,RRc,RRc
39,RR,RR
40,CEP,RRc
41,CEP,CEP
42,RR,RR
43,RRc,RRc
44,CEP,CEP
45,DSCT,CEP
46,RRc,RRc
47,RRc,RRc
48,RR,CEP
49,CEP,CEP
50,RRc,CEP
51,CEP,CEP
52,RR,RR
53,CEP,CEP
54,RR,RR
55,RRc,RRc
56,RR,RR
57,RRc,CEP
58,RR,CEP
59,RR,RR
60,CEP,CEP
61,RR,RR
62,DSCT,DSCT
63,DSCT,DSCT
64,RRc,RRc
65,RR,CEP
66,RRc,CEP
67,RR,RR
68,RR,RR
69,RR,CEP
70,CEP,CEP
71,CEP,CEP
72,CEP,CEP
73,CEP,CEP
74,RR,RR
75,RRc,RRc
76,RR,RR
77,RRc,RRc
78,RR,RR
79,CEP,CEP
80,RR,CEP
81,RR,CEP
82,DSCT,DSCT
83,DSCT,DSCT
84,CEP,CEP
85,RRc,CEP
86,DSCT,DSCT
87,RR,RR
88,RRc,RR
89,RRc,RRc
90,CEP,CEP
91,CEP,CEP
92,RR,RR
93,RRc,RRc
94,RR,CEP
95,RRc,RRc
96,CEP,CEP
97,CEP,CEP
98,CEP,CEP
99,RR,CEP
100,RRc,RRc
101,DSCT,DSCT
102,CEP,CEP
103,RR,CEP
104,RR,RR
105,RR,RR
106,RRc,RRc
107,RR,RR
108,CEP,CEP
109,DSCT,CEP
110,RR,RRc
111,RRc,RRc
112,RR,RR
113,RRc,RRc
114,DSCT,DSCT
115,RR,RR
116,RR,CEP
117,CEP,CEP
118,RR,RR
119,RR,CEP
120,CEP,CEP
121,DSCT,DSCT
122,RRc,RRc
123,RRc,RRc
124,RR,RR
125,RR,RR
126,DSCT,DSCT
127,RR,CEP
128,RRc,RRc
129,CEP,CEP
130,CEP,CEP
131,RRc,RRc
132,RRc,RRc
133,DSCT,DSCT
