num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
4,"(0, 1, 3, 4)",[0.89977591 0.90448134 0.90191651 0.89335323 0.92185064],0.9042755288062094,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r')",0.012247883920573372,0.00952926979107804,0.00476463489553902
5,"(0, 1, 3, 4, 17)",[0.89507966 0.89567821 0.89066426 0.89789145 0.919673  ],0.8997973148293694,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Autocor_length_r')",0.013123959047449913,0.01021088600293945,0.005105443001469725
3,"(1, 3, 4)",[0.8891851  0.89214262 0.9003953  0.88036272 0.90078179],0.8925735062619372,"('MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r')",0.00977711491035184,0.007606927560981725,0.0038034637804908625
1,"(3,)",[0.90613706 0.89084249 0.86160315 0.88375921 0.9060208 ],0.8896725415242761,"('Period_band_r',)",0.021217602816648796,0.01650801582305644,0.008254007911528218
2,"(3, 4)",[0.8941075  0.89416817 0.8657983  0.88363868 0.89693035],0.8869286006190095,"('Period_band_r', 'GP_DRW_tau_r')",0.01478136108175791,0.011500401093025569,0.005750200546512783
6,"(0, 1, 3, 4, 17, 29)",[0.88124894 0.89069493 0.87952401 0.87251143 0.89193895],0.8831836541238737,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Autocor_length_r', 'IAR_phi_r')",0.009341282238229467,0.007267834935402192,0.003633917467701096
7,"(0, 1, 3, 4, 6, 17, 29)",[0.8822794  0.862912   0.88574965 0.86752061 0.87451715],0.8745957628730899,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Autocor_length_r', 'IAR_phi_r')",0.011056816497592057,0.008602578871523532,0.004301289435761766
12,"(0, 1, 3, 4, 6, 8, 11, 17, 19, 22, 28, 29)",[0.88833329 0.86424243 0.8676373  0.88415346 0.86826946],0.8745271882262091,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Autocor_length_r', 'Eta_e_r', 'MedianBRP_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.012536423029878565,0.009753763020739365,0.004876881510369683
13,"(0, 1, 3, 4, 6, 8, 11, 17, 19, 22, 28, 29, 30)",[0.88135753 0.8620873  0.87006953 0.87994216 0.86828453],0.8723482117836248,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Autocor_length_r', 'Eta_e_r', 'MedianBRP_r', 'SF_ML_gamma_r', 'IAR_phi_r', 'LinearTrend_r')",0.009371668092714237,0.007291476162498688,0.0036457380812493444
11,"(0, 1, 3, 4, 6, 8, 11, 17, 22, 28, 29)",[0.87780647 0.88464569 0.85442193 0.87797893 0.86619572],0.8722097484274423,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_eta_r', 'Harmonics_mag_7_r', 'Harmonics_phase_4_r', 'Autocor_length_r', 'MedianBRP_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.0137452200967824,0.010694248205599872,0.005347124102799936
