num_feats,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(3, 4, 7, 9, 11, 16, 17, 21, 24, 27)",[0.90618473 0.9063489  0.91044717 0.91537382 0.91938234],0.9115473917389473,"('Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.006629432328811003,0.005157923575420155,0.0025789617877100776
9,"(3, 4, 7, 9, 11, 16, 17, 21, 24)",[0.90618473 0.8996038  0.91276531 0.91317117 0.92146392],0.9106377869822222,"('Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Rcs_r')",0.00944016267086311,0.0073447672712844535,0.0036723836356422268
11,"(3, 4, 7, 9, 11, 16, 17, 18, 21, 24, 27)",[0.90623304 0.89996461 0.91302929 0.91514176 0.91496141],0.9098660206741679,"('Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.007604736362093332,0.0059167432475973536,0.0029583716237986768
8,"(3, 4, 7, 9, 16, 17, 21, 24)",[0.91950379 0.8996979  0.91292044 0.90183822 0.91473949],0.9097399678719091,"('Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Rcs_r')",0.009851127753793617,0.007664512067638977,0.0038322560338194885
12,"(3, 4, 7, 9, 11, 13, 16, 17, 18, 21, 24, 27)",[0.90638829 0.90215497 0.90821936 0.91052818 0.91256887],0.9079719339004388,"('Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.0046009987268534796,0.003579733320540882,0.0017898666602704407
7,"(3, 7, 9, 16, 17, 21, 24)",[0.91473655 0.90818451 0.91170117 0.89374631 0.90533941],0.9067415882472373,"('Period_band_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'Autocor_length_r', 'Mean_r', 'Rcs_r')",0.009294035025540994,0.007231074998787458,0.003615537499393729
13,"(3, 4, 7, 9, 10, 11, 13, 16, 17, 18, 21, 24, 27)",[0.90413457 0.8930929  0.90139368 0.9038704  0.91927588],0.9043534844471324,"('Period_band_r', 'GP_DRW_tau_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.010883620128394209,0.008467826212237699,0.0042339131061188496
3,"(3, 7, 9)",[0.91218648 0.90812215 0.89043259 0.89417286 0.91619149],0.9042211129219384,"('Period_band_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r')",0.01301950300968919,0.010129615656846688,0.005064807828423344
4,"(3, 7, 9, 16)",[0.91218648 0.90812215 0.89043259 0.89417286 0.91619149],0.9042211129219384,"('Period_band_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'AndersonDarling_r')",0.01301950300968919,0.010129615656846688,0.005064807828423344
5,"(3, 7, 9, 16, 17)",[0.91218648 0.90812215 0.89043259 0.89417286 0.91619149],0.9042211129219384,"('Period_band_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'Autocor_length_r')",0.01301950300968919,0.010129615656846688,0.005064807828423344
6,"(3, 7, 9, 16, 17, 24)",[0.90543531 0.90607286 0.90430871 0.89837979 0.90511164],0.9038616642372649,"('Period_band_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'AndersonDarling_r', 'Autocor_length_r', 'Rcs_r')",0.003597849805283861,0.0027992493792937984,0.0013996246896468992
14,"(3, 4, 5, 7, 9, 10, 11, 13, 16, 17, 18, 21, 24, 27)",[0.9038817  0.89526386 0.90588432 0.89467899 0.90566492],0.9010747568706232,"('Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.0064713556114243675,0.005034934518907712,0.0025174672594538558
15,"(0, 3, 4, 5, 7, 9, 10, 11, 13, 16, 17, 18, 21, 24, 27)",[0.8971175  0.88630658 0.9083547  0.89030527 0.90366665],0.897150141370109,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.010480334619430496,0.00815405638532971,0.004077028192664855
16,"(0, 3, 4, 5, 7, 9, 10, 11, 13, 14, 16, 17, 18, 21, 24, 27)",[0.89273882 0.87790932 0.90588448 0.89057184 0.89888562],0.8931980168636542,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.011976637166742915,0.009318230601454211,0.004659115300727105
2,"(3, 9)",[0.89320677 0.89476727 0.87003797 0.89220336 0.91429771],0.8929026158205154,"('Period_band_r', 'Harmonics_phase_2_r')",0.01803625973125043,0.014032822821935763,0.007016411410967881
1,"(3,)",[0.90613706 0.89084249 0.86160315 0.88375921 0.9060208 ],0.8896725415242759,"('Period_band_r',)",0.021217602816648817,0.016508015823056454,0.008254007911528225
17,"(0, 3, 4, 5, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 24, 27)",[0.87595148 0.86032234 0.90213835 0.89508866 0.8767815 ],0.8820564649572633,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r')",0.01915547665703639,0.014903611613674744,0.007451805806837372
18,"(0, 3, 4, 5, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 24, 27, 29)",[0.87373884 0.86284261 0.89470519 0.88212248 0.87593626],0.8778690759975631,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'Rcs_r', 'StetsonK_r', 'IAR_phi_r')",0.013457374503408377,0.010470294554894012,0.005235147277447005
19,"(0, 3, 4, 5, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 22, 24, 27, 29)",[0.87776452 0.8469275  0.89445905 0.89530147 0.8641159 ],0.8757136880651567,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Rcs_r', 'StetsonK_r', 'IAR_phi_r')",0.023716518158097326,0.018452256855070737,0.009226128427535368
20,"(0, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 22, 24, 27, 29)",[0.8777512  0.85391304 0.86815789 0.88881334 0.84982548],0.8676921889160424,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Rcs_r', 'StetsonK_r', 'IAR_phi_r')",0.018683974171537502,0.014536766661467483,0.007268383330733742
21,"(0, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 24, 27, 29)",[0.86639182 0.84072059 0.87052551 0.88006732 0.8457732 ],0.8606956882521889,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Rcs_r', 'StetsonK_r', 'IAR_phi_r')",0.01928807215660708,0.015006775417045664,0.007503387708522832
22,"(0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 24, 27, 29)",[0.85945389 0.81936619 0.86975399 0.87064179 0.84035866],0.8519149041749025,"('MHPS_ratio_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Rcs_r', 'StetsonK_r', 'IAR_phi_r')",0.025178131366644912,0.019589441587125347,0.009794720793562672
23,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 24, 27, 29)",[0.85066721 0.83193815 0.86166887 0.86891189 0.82430387],0.8474979951286535,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Mean_r', 'MedianBRP_r', 'Rcs_r', 'StetsonK_r', 'IAR_phi_r')",0.021883854918837552,0.017026382593332976,0.008513191296666486
24,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 27, 29)",[0.83962066 0.82279369 0.85679583 0.85149304 0.82495528],0.8391316989768551,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'Rcs_r', 'StetsonK_r', 'IAR_phi_r')",0.01755695059818766,0.01365990403270633,0.006829952016353165
25,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 27, 29)",[0.83788093 0.79155494 0.84151567 0.84670585 0.8039766 ],0.8243267972873906,"('MHPS_ratio_r', 'MHPS_low_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'StetsonK_r', 'IAR_phi_r')",0.028556141415340425,0.02221764816711433,0.011108824083557164
26,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 27, 29)",[0.80560456 0.77824458 0.8152162  0.83131574 0.7804801 ],0.8021722344911613,"('MHPS_ratio_r', 'MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'StetsonK_r', 'IAR_phi_r')",0.026179272540647985,0.02036836343255587,0.010184181716277935
27,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 27, 28, 29)",[0.80469965 0.73799012 0.77730034 0.78644054 0.77130833],0.7755477962448104,"('MHPS_ratio_r', 'MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'StetsonK_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.0281599318547405,0.02190938366842659,0.010954691834213295
28,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 26, 27, 28, 29)",[0.74791249 0.69875242 0.73154324 0.73348864 0.73551862],0.7294430808221259,"('MHPS_ratio_r', 'MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'SmallKurtosis_r', 'StetsonK_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.02104681192589867,0.016375134707724937,0.008187567353862469
29,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29)",[0.5090514  0.50971886 0.55885928 0.56248137 0.51132735],0.5302876532169586,"('MHPS_ratio_r', 'MHPS_low_r', 'MHPS_high_r', 'Period_band_r', 'GP_DRW_tau_r', 'Psi_CS_r', 'Psi_eta_r', 'Harmonics_mag_1_r', 'Harmonics_mag_7_r', 'Harmonics_phase_2_r', 'Harmonics_phase_3_r', 'Harmonics_phase_4_r', 'Harmonics_phase_5_r', 'Harmonics_phase_6_r', 'Harmonics_phase_7_r', 'Amplitude_r', 'AndersonDarling_r', 'Autocor_length_r', 'Beyond1Std_r', 'Eta_e_r', 'Mean_r', 'MedianBRP_r', 'PercentAmplitude_r', 'Rcs_r', 'Skew_r', 'SmallKurtosis_r', 'StetsonK_r', 'SF_ML_gamma_r', 'IAR_phi_r')",0.0319327921443822,0.02484479715023215,0.012422398575116076
